group_id,qc_label,conversation_id,active_days_14d,active_days_30d,retention_14d,mentee_n_edits,mentee_n_edits_7d,mentee_acct_age_hours,mentee_mainspace_ratio,mentee_mobile,mentee_visualeditor,mentee_revert_rate,mahal_to_anchor,max_group_mahal,reply_words,reply_lag_hours,question,reply
1,qc_1,3792,14,16,1,8.0,3.0,1970.6,0.875,0.0,0.0,0.0,0.0,3.08,63.0,13.1,"Hello, can I ask you a question. How do I create a citation?","Hi AlfieRosa and thanks for your question. [HELP_PAGE] with instructions on how to add references and it includes citation templates. At the bottom of that help page, there are links to other help pages regarding citations/references, such as different citation styles, etc. The link on the right side is for a 6 minute video housed on Wikimedia Commons regarding how to create citations."
1,qc_1,13047,3,3,1,3.0,3.0,81.4,1.0,0.0,3.0,0.0,2.95,3.08,13.0,17.4,How to create a citation,"Suresona Please see [POLICY]. If you have any questions, please let me know!"
1,qc_1,14480,0,0,0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,1.52,3.08,44.0,161.7,"Hello ,how do I create a citation","@ See [POLICY].
Thank you. I am writing and teaching a two part 11 week class beginning Wed. Sept 3, so I am totally absorbed in RL right now. I will come up for air at some point! Thgank you for covering for me!"
1,qc_1,10538,0,0,0,1.0,1.0,3.9,1.0,1.0,1.0,0.0,1.76,3.08,59.0,32.0,Hello please how do I create a citation,"Hi Molly100731, and welcome to Wikipedia! The guide [HELP_PAGE] gives a good overview of how to make a citation. If you are using the visual editor, just click the ""Cite"" button along the top of the functions bar and follow the instructions in the toolbox! Let me know if you are having trouble with any part of the process."
1,qc_1,14017,0,0,0,1.0,1.0,0.2,1.0,1.0,0.0,0.0,2.82,3.08,41.0,23.6,How do I create a citation,Ishanvi.M Good day and thank you for the question. To create a citation you can use the horizontal format of [TEMPLATE_REF] if the source is from the the web and [TEMPLATE_REF] if the source is from books. Stay safe and best.
2,qc_1,3955,9,20,1,8.0,8.0,125.5,0.875,7.0,0.0,0.0,0.0,3.42,41.0,1.5,How do I create a citation?,"Hi MihaelaLovri and welcome to Wikipedia. [HELP_PAGE] is a help page page on how to create a citation. [POLICY] are some citation template options. [POLICY] is information about inline citations. And last but not least, [POLICY] is general information regarding sources."
2,qc_1,26210,3,4,1,7.0,4.0,1738.9,0.857,7.0,0.0,0.143,3.21,3.42,6.0,0.3,How do i create a citation?,[HELP_PAGE] has links to citation templates.
2,qc_1,30939,0,0,0,2.0,1.0,313.6,0.5,0.0,1.0,0.0,3.07,3.42,72.0,41.5,How do I create a citation?,"Hello @! There are 3 ways I know of.
# For an easy auto-generated way, see [POLICY]
# For a more difficult way you need to make, see [HELP_PAGE]
# For using trusty [WIKILINK], see [POLICY].
Thanks. ~ (He, him) • • •
Hello, @, and welcome! In addition to the helpful tools Rafael mentioned below, there are helpful referencing tutorials at [POLICY] (source editor) and [POLICY] (for the visual editor). Cheers,"
2,qc_1,15405,0,0,0,1.0,1.0,50.7,0.0,1.0,0.0,0.0,3.31,3.42,21.0,6.7,How do I create a citation,Josephakande2025 There's a tutorial on referencing and creating citations [POLICY] - let me know if you have any other questions! '
2,qc_1,19819,0,0,0,1.0,1.0,0.4,0.0,1.0,0.0,0.0,3.36,3.42,64.0,367.4,"Hello 👋, how do I create a citation","Hello @, sorry for the wait, I was taking a break from editing. As for your question, when you edit in the Visual editor (the one that doesn't involve code), click the quote button. If you have a URL you can paste it or make a citation yourself manually. Hope this helps! If you have any questions, feel free to ask. [POLICY] (she/they )"
3,qc_2,34530,11,26,1,6.0,6.0,10.9,1.0,0.0,6.0,0.0,0.0,4.71,11.0,5.7,How do I add userboxes to my profile?,", welcome to Wikipedia! See [POLICY] for some information. Best, —"
3,qc_2,22618,7,12,1,2.0,2.0,14.1,0.5,0.0,0.0,0.0,2.8,4.71,23.0,7.8,How do I create a userbox for my account?,"you can use [WIKILINK] and modify it to change the color, image, etc. Information on how templates work can be found at [HELP_PAGE]."
3,qc_2,35008,0,1,0,8.0,8.0,23.3,0.75,8.0,8.0,0.0,2.06,4.71,61.0,4.0,"How do you add the boxes on your profile like “This user is…”?
Thank you!","Hi there @. I assume you are talking about [POLICY]? A gallery of userboxes is located [POLICY] and you can copy the boxes to your page by copying and pasting pasting the [POLICY] linked on the gallery to add the boxes to your page. For example, you could copy and paste to show that you are an expert in sports statistics."
3,qc_2,18332,0,0,0,1.0,1.0,4.3,1.0,1.0,1.0,0.0,2.93,4.71,225.0,672.5,Hello! How do I add userboxes on my user page?,"Hi Awkwardmarie, sorry about the slow response, I've let a backlog of questions build up on this talk page lately and I have not been staying on top of them as well as I should be. You can find a list of userboxes at [POLICY]. So, for instance, you could go to [POLICY], to see an example. There is wikitext presented in the first column, with the userbox template, along with the userbox, or transclusion of that userbox, in the second column. The wikitext is the code you add to your userpage to make it appear, and the transclusion is what appears. But, if you already know the userbox you are going to add: check the page title, copy it without ""Template:"". Go to your userpage, create page, add two curly brackets at the beginning, the pagename you've copied, and two curly brackets at the end. It should look a bit like this: . If you are copying from a userbox from a user, a page beginning in User:, then you can copy the full title, like so: . If you are adding multiple userboxes, you can use [TEMPLATE_REF] and [TEMPLATE_REF] at the start and end of your userboxes, to put them all into a box on the side, like I have. I hope this helps, let me know if you have any more questions!"
3,qc_2,5805,0,0,0,3.0,3.0,0.6,0.667,0.0,0.0,0.333,3.91,4.71,5.0,7.7,How can I insert boxes into my user page?,"Hello, MajjuBhalla. Please read [POLICY]."
4,qc_3,34142,3,3,1,15.0,7.0,352.7,1.0,15.0,12.0,0.4,0.0,3.88,27.0,105.7,How to add a image to a Wikipedia's page,"Where do you want to add the image? Please clarify, whether it's in the infobox or between sentences. Different syntax is used for posting in different places."
4,qc_3,40424,3,3,1,17.0,14.0,378.8,1.0,17.0,1.0,0.176,3.8,3.88,22.0,8.2,Hello.How to add an image to a wikipedia site,"You may upload an image to Wikimedia Commons, and then you can use it on Wikipedia by inserting the image. ~ ~"
4,qc_3,37533,0,0,0,21.0,2.0,1567.8,1.0,9.0,1.0,0.143,2.55,3.88,12.0,8.3,How do I add images to a wiki page?,"Instructions are here: [HELP_PAGE]. Note there are many, many, many copyright issues."
4,qc_3,25702,0,0,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,3.2,3.88,45.0,8.2,How do i put my images on wikipedia?,"I'm not entirely sure what you're asking, but whatever it is, [POLICY] probably has a link to a document that explains it. If you're just looking for, literally, the buttons to press to upload an image, go to [POLICY] and follow the prompts there. Cheers!"
4,qc_3,4265,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,3.88,150.0,33.3,how to add images to wikipedia,"You can always read [HELP_PAGE] but here's a quick recap. The first thing to do is to upload your image. Now I won't get into the fine details of image copyrights issues but basically, you should only add images that are free either because their copyright has expired or because their author has released under a free license or because you're the author of the image. In either case, you should be able to upload the image to [WIKILINK] via its Upload Wizard (see ""Upload file"" in the column on the left.) Once this is done, your image will have some name ""Foo"". To include the image on an article, you can now add (the first two parameters ensure that the image appears on the right and is not too large, the last is the image's caption.) Hope this helps. If you're still having trouble, do let me know. Cheers,"
5,qc_3,21305,4,5,1,54.0,33.0,406.7,0.926,2.0,51.0,0.093,0.0,3.81,13.0,7.3,I would like to know how to upload pictures to Wikipedia,:Petertsamson247 Hello there! See [POLICY] for how to do so. ― Blaze Wolf#6545
5,qc_3,29489,0,0,0,1.0,1.0,0.3,0.0,1.0,0.0,0.0,3.4,3.81,29.0,0.3,How to add pictures in Wikipedia,@ Do you mean how to upload pics? You can do that in [LINK] as long as they are released used a [WIKILINK]. You can also check out [HELP_PAGE]
5,qc_3,5537,0,0,0,1.0,1.0,1.7,0.0,1.0,1.0,0.0,3.41,3.81,11.0,10.8,"Hello
How do I upload my pictures on Wikipedia",@ You can simple use the [POLICY] to upload your images.
5,qc_3,19940,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.81,3.81,76.0,5.0,How do I post a picture on Wikipedia,"Quinlanwconley, hello! For newcomers, we have an image uploading process that new users can follow. In fact, it's so easy to use that I still use it. On the top left-hand side of your screen, you should see an Upload File link. If it isn't there, you can use [POLICY] instead. Bear in mind if you use this, you need to be careful that you give the right credit to the works where credit is due."
6,qc_5,32795,4,4,1,26.0,10.0,1484.7,0.808,26.0,22.0,0.077,0.0,4.22,61.0,3.8,How do i add an image to an article i made?,"@: Hello and welcome to Wikipedia.
If the image is a copyrighted image (such as a poster or album cover) then you must upload it directly to Wikipedia. Otherwise, if the image is not copyrighted, it can be uploaded to Wikimedia Commons.
Follow the instructions [POLICY] to upload the file.
Feel free to ask if you have any questions? ~ ~"
6,qc_5,8867,0,0,0,1.0,1.0,0.7,1.0,1.0,0.0,0.0,3.87,4.22,75.0,6.5,Hi! I was wondering how to add photos to an article,"Henry Nack as Wikipedia is designed to be [POLICY], we largely only use [WIKILINK] licensed or [WIKILINK] images. If you have taken a photo yourself and would like to release it under a free license (allowing free use by anybody, perhaps with attribution), then you can upload it to [WIKILINK] and then add it to an article. This page somewhat takes you through the process: [POLICY]. Let me know if you have further questions! —"
6,qc_5,39267,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.88,4.22,177.0,0.2,Hi I want to add pictures to my article,"Hi , and welcome to Wikipedia! It sounds like you're looking for help with how to add and use images on Wikipedia. If that's the case, you can check out Wikipedia's information page on images [POLICY]. It lists relevant tutorials, guidelines, and policies involving their use. The very important thing that you need to make sure that you understand and comply with at all times is Wikipedia's policy on [POLICY], and to avoid causing any [POLICY]. Obeying media copyrights is extremely crucial on Wikipedia; it's a policy that we take very seriously, and causing violations due to carelessness (especially if repeated) usually leads to users being [POLICY] Wikipedia until they can demonstrate that they understand the policy and will not cause further copyright issues. It can even hurt your [POLICY] as far as community trust and holding account permissions goes. So please read through those policies and be diligent and careful with uploading and using images here. If you have any more questions, please let me know and I'll be happy to answer them. :-) Best regards"
6,qc_5,12836,0,0,0,1.0,1.0,0.4,0.0,1.0,0.0,0.0,3.93,4.22,20.0,0.6,How to add image on your article,Hi @. Can you be a bit more specific about what you are trying to do? What article? What image?
7,qc_5,21266,6,17,1,0.0,0.0,43.4,0.0,0.0,0.0,0.0,0.0,1.51,70.0,0.3,How can i add pictures to articles,"Hey , welcome to Wikipedia! You may want to read [HELP_PAGE] for images (there are simplified versions linked at the top), which should give you all the information you need. Ixtal has not edited in some time now, so you may want to ask your question at the [POLICY], where experienced editors will be able to help you out. I'm happy to help if you have any other questions. —"
7,qc_5,22199,0,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.01,1.51,74.0,50.9,"Hello
How to add picture in the article","Hi Aruparktr, welcome to Wikipedia! If you are asking about how to upload an image, there is a detailed guide at [POLICY]. Please keep in mind that unless you are specifically uploading a fair-use image that is the subject of commentary in an article, any images you upload need to either be in the public domain or released under a compatible license by the copyright holder. Let me know if you have additional questions."
7,qc_5,17776,0,0,0,0.0,0.0,233.3,0.0,0.0,0.0,0.0,0.46,1.51,30.0,157.9,How do I add a table or picture to my Article,"If you're writing an article about yourself, please dont' - see [POLICY]. You can add an image to the general image bank- go to Wikimedia Commons and follow instructions there"
7,qc_5,34471,0,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.06,1.51,27.0,8.5,"Hello, how to add an image into an article?","@: Pictures under a license that allows reuse can be uploaded to [WIKILINK]. Once uploaded, they can be used here under the filename you chose when uploading."
8,qc_6,13623,11,26,1,1.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,1.77,11.0,44.9,How do you succesfully change your username?,"Hey, Realmaxxver! You can read more about this at [POLICY]. '"
