cluster,label,n,retention_rate,retention_2d_rate,sample_questions,mean_r_words,mean_r_sentences,mean_r_type_token_ratio,mean_r_n_question_marks,mean_r_has_greeting,mean_r_has_thanks,mean_r_n_policy,mean_r_n_wikilink,mean_r_n_link,mean_r_n_resources,mean_r_pronoun_you_rate,mean_r_pronoun_i_rate,mean_r_pronoun_we_rate,mean_r_vader_compound,mean_r_tb_polarity,mean_r_flesch_kincaid,mean_r_has_steps,mean_r_reply_lag_hours,mean_r_reply_q_word_ratio
-1,noise,4361,0.2483,0.1458,"Hi Iffy! Thanks for serving as my mentor!
I was wondering, when editing table data for a sports team that contains multiple instances of the same data, is there a way to grab data from one table and populate another table with the same data? ||| Hi, this is my grandmother and I would like to have a photo of her on her page, but can’t figure out how to do it! Many thanks! ||| i want to publish about me ||| Hi I uploaded two pictures of Saddle River yesterday which are not showing up.
Ty
Ravi ||| Hello,how do I make an infobox?",54.4797,3.8161,0.859,0.2548,0.41,0.1034,1.0493,0.2476,0.0576,1.5185,0.058,0.0197,0.0023,0.4329,0.1802,6.7323,0.0021,43.3937,2.7744
0,cluster_0,252,0.2897,0.1706,"How to send images into Wikipedia? ||| Hi, How to add a new publication in Wikipedia with puctures ||| Hello Hannah,
Thanks for offering to help.
At this time, I'm focusing on updating and revising a friend's Wikipedia page.
How do I replace a 14-year-old photo on the page with a recent photo?
Don ||| Can you please tell me how to post pictures in Wikipedia common as the picture is public domain? ||| Hi Lucy, Very nice to meet you. It's taken me a while to find my way around Wikimedia Commons and Wikipedia as a contributor, and now as a fledgling editor.
I've just read your bio and I'm floored that someone so experienced and accomplished has been assigned as my mentor. Honestly, I'm honored for the opportunity to learn from you.
I've intentionally kept a low profile in the months since creating my account because I didn't wish to burden anyone. I've since learned how to use the image up-load",59.8294,4.0873,0.8395,0.2659,0.4841,0.0635,0.8492,0.4286,0.1825,1.75,0.0556,0.0178,0.0021,0.4405,0.1735,6.7323,0.0,23.2709,3.0853
1,cluster_1,622,0.1945,0.1109,"Hi there, how can i upload image without using commons because commons is not working in my pc ||| Hi there, I need to delete one of the images here [LINK] because I accidentally uploaded the first one with private information in the exif data. How do I do that? ||| How to add photos ||| Want to update Laurie photo how can I do it I am her pr assistant ? ||| How I want to change the pictures which is already outdated?",48.7862,3.6029,0.8621,0.2862,0.4244,0.0723,0.709,0.3296,0.1158,1.4325,0.0559,0.0142,0.0018,0.3749,0.1961,6.7008,0.0064,39.9379,5.8076
2,cluster_2,280,0.25,0.1429,"how do i translate an existing article so it is available in another language? ||| Hello! When I want to publish an article about software, I want to include a ""programming language"" field. Is there a way I can add multiple programming languages? ||| Hello Im mostly a user on mobile and my interests are primarily geography climate nature history linguistics among others for the time being i want to help expand wikipedia by translating very useful articles in my opinion such as the Sub artic Koppen geiger classification system which doesnt have a page yet in Greek or Albanian both languages that i speak fluently among others my questions are how do i create categories or tranlate a page in a way similar to how it's done on Pc and how do i cre ||| Hi there, apparently you are my wikipedia mentor and as such I have been forwarded to you to ask some questions!
I am mainly on wikipedia to edit/ add information to a couple subjects I am knowledgeable on that didnt have the information when I searched it up..
Koryu Uchinadi the Martial art (karate) is the main subject I am hoping to edit, I have checked the page and it has 3 languages but not one in english, additionally using a basic google translate application alot of the information is jus ||| Hello, on reading the entry about Toyota Industries Corporation, I found that there was no direct links to one of its subsidiaries (that I have worked for for many years). I then searched for entries regarding this subsidiary and found information on the Swedish language Wikipedia. It strikes me that there is potential for improving the linking of these entries.
So my questions are:
1)How to establish if an entry found in one language is referenced or even exists in a different language Wiki?
2)",52.7321,3.625,0.8567,0.2036,0.4179,0.1107,0.7036,0.4321,0.1464,1.4321,0.053,0.0191,0.0012,0.458,0.1679,7.1169,0.0036,60.8614,1.7614
3,cluster_3,257,0.1751,0.1089,How should I make and customize my user page? ||| I need to edit my details ||| How do I create my profile with pictures ||| How do I add content. I would like to add information about a law firm and the attorneys there ||| how to edit profile,44.7743,3.3268,0.8772,0.2763,0.3774,0.0934,0.9844,0.0778,0.0389,1.2218,0.0764,0.0185,0.0018,0.4441,0.2062,6.4933,0.0039,39.8755,4.0096
4,cluster_4,315,0.0825,0.0286,"Hy I have a question , How To Write a good article for our real estate Team ||| How do I create an article introducing a character? ||| pls, i want to create an article about someone ||| Hi there, my goal is to create an article for my organization down the line - I'm aware of the rules of writing but taking some time to practice with edits before doing it. Wanted to get your opinion on the direction that I should take in order to achieve my goal. ||| How can I write an article about my YouTube gaming channel? I want to spread my channel growth.",52.9206,3.7365,0.8658,0.1683,0.3841,0.0794,1.6476,0.219,0.0159,2.1238,0.0607,0.0153,0.004,0.4395,0.1971,7.2421,0.0,46.9328,4.1676
5,cluster_5,270,0.3074,0.1852,"Hey - I may have asked this once before. How do u get the name of a page changed when it’s inaccurate?
Many thanks ||| How do I suggest a change to the title of an article? An article pertaining to an album is currently not matching the stylized spelling. ||| Can I change the name of the page?? ||| How do i change the page name? and if someone searches up will it appear on google ||| Hi there, how do I change a spelling mistake in the name of a person? The error is in the main title and repeated a few places in the body of the article.",54.2778,3.7852,0.8531,0.2259,0.4481,0.1148,1.2037,0.3037,0.0444,1.6889,0.0641,0.018,0.0019,0.3638,0.1555,5.9953,0.0,37.5793,3.0244
6,cluster_6,287,0.0627,0.0209,"Hi
I wanna write my biography,can you help me to do that? ||| How to make a biography ||| How to add my biography history ? ||| Hi, I would like to create articles about lesser known photographers in Iraq. To learn the process I would like to create a draft template page with all the usual sections for biography, references etc. Maybe this could stay in a sandbox while I add the content before making public. How can I create a draft with these sections ready for me to add content? Thank you ||| Hi Romean. My husband passed away 2 years ago and was a remarkable person with achievements. How would I go about creating a bio page about him?",58.0383,3.9965,0.8538,0.2334,0.4286,0.1115,1.8293,0.115,0.0209,2.1672,0.0656,0.0152,0.0035,0.4927,0.2016,7.8157,0.0,50.2503,5.3668
7,cluster_7,572,0.1171,0.0472,"I need help. I am trying to create a page for a musician. ||| Hi
Im and artist is it necessary to write my details by me ||| Hello Are You My Mentor
If yes I’m buying you 16 Billion Dollars If No I’m Gonna Make You A Famous Mentor And A Famous Rapper ||| I’m a rap artist and I’m signed to HipHop legendary rap group ONYX under the umbrella called 100MAD Movement
I believe I’ve had a wika before but wasn’t hands on how can I get this done ||| IM A SONG WRITER AND PRODUCER THAT RELEASED MUSIC HOW DO I GET MY PAGE ON WIKI",60.5332,4.1853,0.8462,0.1818,0.4371,0.0997,1.7937,0.1451,0.021,2.1678,0.0584,0.0151,0.0026,0.5039,0.1925,7.3776,0.0035,58.0717,3.0515
8,cluster_8,249,0.0964,0.0281,"Hello, dear teacher!
Nice to meet you. I'm a newbie and would like to create a Wikipedia entry for our company. What information do I need?
Thank you. ||| I'd like to link my company website to a wikipedia page that references us. Is that possible? ||| hello sir, I just want to get my business name on wikipedia. Please help me regarding this. ||| Hi,
I am from marketing team of expertise company and i want to add relevant information of my company in wikipedia. I am entirely new in this space. your guidance will be worth.
www.expertindus.com is the website. ||| Hello Mentor,
I want to create a Wikipedia page for my business can you please guide me?",68.759,4.5663,0.8303,0.2129,0.4538,0.1406,2.2892,0.1325,0.0321,2.5743,0.0624,0.0151,0.0042,0.4585,0.1582,8.0571,0.0,49.6782,3.0438
