idx,question,Q0,Q2,Q3,Q4,Q5
1,"Hi there! I made a new page on a TV show I like and submitted it, but now I can't find it. Were do drafts go?",Y,N,N,N,Y
2,"Hello, How Can I add a page about a politician who is currently active?",Y,N,N,N,N
3,"Hi, How to add image to the articles? How many articles we can write form the account?",Y,N,N,N,N
4,I am a member of the The Funk Center [LINK] and would like to create pages for musicians who are not currently found on wikipedia. Some of them are still alive. Any guidance on creating new pages is welcome.,Y,N,N,N,N
5,"Hello, can I create new page of Wikipedia",Y,Y,N,N,N
6,"Hi Dan, Why cannot I add some of the links in the references as I think it will be beneficial for the users and community.",Y,N,N,Y,N
7,Hi. Any tips on putting links in the references section? I'm working on updating the Sabin Vaccine Institute page.,Y,N,N,Y,N
8,"Hello, I don't have many questions yet, and I'm in a very happy mood right now, I just wanted to say Have a great day, Bye for now!",N,N,N,N,N
9,Hi - i'm wanting to update a company article but it's instantly been removed,Y,N,N,Y,N
10,"Hi Yonatan, pleased to e-meet you. I'm Sebastian and I'd like to start making some small edits here and there, at least when I find inaccuracies. I created my account today and then I went to try to make the edits and found out that my IP is blocked in the Spanish site. I'd like to update: - [LINK] - [LINK] Note: I'm argentinian and also speak spanish;) I'm following the instructions on how to get my IP unblocked, so I've created this discussion: [LINK] Do you think you could get that checked or ask someone? Thanks in advance and let me know if you want me to do anything from my side. PS: I hope I got your name right:) and I'm reaching out to you as I have a message saying you're my mentor here, but happy to be redirected.",Y,N,N,Y,Y
11,How to reliably edit a Wikipedia page (in the future when my obscure kana collection will have many kana) so my edits won't be dismissed as "Lies"?,Y,N,N,Y,N
12,I need help,N,N,N,N,N
13,"How do I create a page about Unframe Inc? I have all the text and sources ready, but do not see a way to create a page about a company. Thanks in advance for your help.",Y,N,N,N,N
14,"Hello, I’ve discovered that the second pilot has been wrongly identified. It should be Flight Lieutenant Roy Bernard Wharmby.",Y,N,N,N,N
15,"Hello. I would like to edit the article about the Holmenkollen ski jump, because a user has put the old record and not the new one, because according to that user the record is only valid for ski jumping and that according to him the record made in Nordic combined is not valid. Can I edit the article or are there some steps I should take?",Y,N,N,Y,N
16,Hlo,N,N,N,N,N
17,"Hello, I'd like to make corrections and add substantially to this bio of me,, but I don't know how to begin. I've had decades of editing experience, but the instructions here are so voluminous that I'm overwhelmed. Do I, for example just click on the page and write and remove, as when editing a Word MS? That hasn't worked so far. Please advise. RP",Y,N,N,N,N
18,How are you sir?,N,N,N,N,N
19,"Hi Mentor. Thanks for being here. Curious, back in January I suggested some information for the ""Andrew Tate"" page under the arrest/investigation section and also the header section but I see they were not incorporated. But when I go to the TALK page, it seems very short and I can't tell what feedback there might have been on my suggestions. Hoping to find out for both curiousity and also learning. How do I find my comments. (example added information about ""Tate's Angels"" and the names of the women he was arrested with and their association to Tate -- along with sources of course.) Thanks for your assistance.",Y,N,N,Y,Y
20,Is there an area or a kind of forum for knowledgeable 'opinions' in Wikipedia?,Y,N,N,N,N
21,Help me,N,N,N,N,N
22,"Hello, New here on Wikipedia. I think Johnny Whitaker should be recognized for his role in Gunsmoke. Not sure how to proceed",Y,Y,N,N,N
23,I have added the additional information as previously mentioned. How do I resubmit it (Tempt Destiny Experiment)?,Y,N,N,N,Y
24,Hi Eddy I was wanting to know how ‘big things’ get added to the Big Things Australia’ page. I started a talk but now I cannot find that talk. Apologies for being quite ignorant in this area. I’m not particular techno savvy. Anyhow I did add some links for big things but didn’t know the process. If you could advise what is required hopefully I can locate this page again and add whatever is needed unless the links are still in the talk I initiated. The Big Things were: Big Teapot - [LINK] Big Lotus Flower - Bendigo [LINK] Big Emus - [LINK] Big Kingfisher [LINK] Big Murray cod [LINK] Thankyou in advance,Y,N,Y,N,Y
25,I want to create a page for service agency,Y,N,N,N,N
26,"Hi Sohom! I've enjoyed completing the tasks suggested to me and, occasionally, researching and writing more thorough sections to those articles. When and how should I decide whether to remove the issues tags on those pages? See for example Alan Bircher: [LINK] — I added more thorough documentation of his awards, updated his current employment status, and added a more thorough section about his firing from a prestigious swim team.",Y,N,Y,Y,Y
27,Hi and thanks for being a mentor. I am also a software engineer. Just a quick question. I was reading an article and had to at least comment on it. At what point is it ok to make edits vice commenting? Does anyone review comments? BTW Uther Locksley sounds like an SCA name. Is that true?,Y,N,N,Y,N
28,How do i create my biography here on Wikipedia,Y,N,N,N,N
29,"Hello, I was wondering about citing articles I've found on newspapers.com that are old. Am I able to cite the URL if I post the article on an image hosting site? I'm new to this and very confused. I was a student at Robert Land Military Academy. Robert Land Academy is currently being sued by over 70 former students for physical and sexual abuse. Most of the information on Wikipedia was posted by the school and is very inaccurate. I have articles to prove this. What do I do?",Y,N,N,Y,N
30,Hello! How are you? I'm from India and you?,N,N,N,N,N
31,"Hello, I am new to Wikipedia and posted my first page on Sunday, September 21. I would really like to see it posted on Wikipedia as soon as possible. Can you please review the posting and kindly let me know what needs to be done to have it accepted? Thanks in advance, Warren",Y,N,Y,N,Y
32,Hello. How do i find a citation source?,Y,N,N,N,N
33,"Nice to meet you Panini. I found an article in the German Wikipedia on Hugo Wolf but I don't know German. I need to read it in English. The reason is Hugo Wolf was my great-uncle and there is some information that is missing that I can add. Also, I would like to know who wrote it to contact them.",Y,N,N,N,N
34,Hello,N,N,N,N,N
35,Hello do i make money off editing on wikipedia?,N,N,N,N,N
36,How do comment on AfDs? Do i have to be an extended comfirmed user?,Y,N,N,Y,N
37,"Hi, I just did my first edit about a subject I'm passionate about, if you have time could you have a look and let me know if the changes were fairly made? Thanks!",Y,N,Y,N,Y
38,how do i reference sources for an article and how much references do i need,Y,N,N,Y,N
39,"Hello, Happy Father's Day - in America, notwithstanding the all the world's fathers. I had made an addition to my hometown's list of notable people years ago, and I was hoping to do the same for an another noteable person from my hometown.",Y,N,N,N,N
40,"I do apologise that this may be specific to UK law but I have a feeling that the company in question is no longer active - Companies House records show that the main entity has been struck off on multiple occasions since 2020, their only employee seems to be the current director and and that related entities bearing the Red Kite name have been dissolved. Would I be able to change the article to reflect this suspicion or would I need to obtain absolute proof that this is the case?",Y,N,N,Y,N
41,"Hello, Is there a specific sentence format preferred for editing articles for Wikipedia? I am afraid my standard structure could come across too informal. Thank you",Y,N,N,Y,N
42,Can you help me edit my wiki page to a professional one?,Y,N,N,N,Y
43,"Hello, I was reading about Brown v. Board of Education and decided to add a piece of information I thought was interesting and maybe important from the book. You can see it on my edit history (I think). Can you review my work to see if I did anything wrong? I hope to be a good wikipedia editor because I enjoy adding knowledge to the world. Thanks!",Y,N,Y,N,Y
44,"Hi, I have published a page and its not visible in the search. Can you help?",Y,N,N,N,Y
45,Hi did I added the reference correctly?,Y,N,Y,N,Y
46,I have been doing a few edits; I would love to get your feedback.,Y,N,Y,N,Y
47,"I just made my first suggested edit. However, in entering text for a description or explanation of my suggestion, I accidentally hit the Enter key and my text was truncated. I wanted to explain that the Town of ""Barton"" NY could not have been ""named after"" a woman who was born Belva Ann Bennett, married a man named McNall, and later married a man named Lockwood. The town's own webpage has a much better explanation for the history of the town's name. Thanks. No Reply needed, unless you feel one must be made.",Y,N,N,N,Y
48,hi I am Ravi from India Ask regarding to create user page on Wikipedia 1. what type of information share on user page 2. which type of links(publish books or website) add on user page,Y,N,N,Y,N
49,Hello this is Mibs can you p[lease help me how can i add any information to wikipedia,Y,Y,N,N,N
50,"I'm a longtime NBC News correspondent (and there is a page about me). One of my longtime colleagues who was NOT on camera, but is a cameraman/producer, who has been a part of not only significant news coverage, but helped developed what's now more commonly known as ""backpack journalism"" deserves a notation. He's won important journalism awards, and like so many (but not me) has written (years ago) a light hearted book about his experiences. Would he deserve a page/is he notable? He certainly is to me and his work now with National Geographic etc would seem worthy. Thanks for your advice/guidance. Cheers",Y,N,N,Y,N
51,"Hi, I've been waiting a couple of months for a review, I've just added tags. Any other ideas of how I can get it reviewed again please? Thanks",Y,N,N,N,Y
52,Hi I am really struggling to get my first page published. Not at all understanding the rationale. I see other pages structured the same way so what am I doing wrong?,Y,N,Y,Y,Y
53,Hi how do i create a new article,Y,Y,N,N,N
54,"Put in my first edit today after it being a bit of a brain worm. Excited to venture forth, will probably be more earth science and prehistory things.",Y,N,N,N,Y
55,"Hi, I am attempting to add a entry to a sorted table but the formatting appears to get messed up",Y,N,N,N,Y
56,please help fill my details in my wikipedia page,Y,N,N,N,N
57,"Hello, mentor I would like to know About Darnell Lamar, UnitedMasters, select artist.",N,N,N,N,N
58,How to change my username,Y,N,N,N,N
59,"Hola, puedo crear una articulo?",N,N,N,N,N
60,"Hi, how do I correct an error in this article on the Calvary statue on the Charles Bridge in Prague. It mentions a plaque placed near the statue at the request of group of North American rabbis. I was one of those rabbis present along with a representative from the Cardinal and the mayor of Prague and the year was not, as stated, 2009. It was in 2000.",Y,N,N,N,N
61,Apparently you're my mentor. My first article on [WIKILINK] was deleted and now is moved to drafts (I was not done and it's a translation job plus article). I wrote another one on [WIKILINK] which I think is a simpler topic. Can you please look at them and tell me what needs to be fixed?,Y,N,Y,Y,Y
62,My first article [DRAFT] review my draft and get back feedback,Y,N,Y,N,Y
63,"Hi! I'm looking to add a wikipedia page, how would I go about doing that?",Y,Y,N,Y,N
64,How to create an article?,Y,Y,N,N,N
65,"Hi, and thank you for being my editing mentor!! I wanted to start with changing some BC and AD to BCE and CE, and I was wondering if that's ok and supported. Thank you again!!",Y,N,N,Y,N
66,Hi! My boss is trying to have me create a wiki page for our company. What formats are accepted for the page?,Y,N,N,N,N
67,How can I add an image?,Y,N,N,N,N
68,Hello how to add picture,Y,N,N,N,N
69,Hello i would like to know why my drafts are being deleted even though they are verified facts,Y,N,N,Y,Y
70,"Hello, I was wondering if you knew anything about un-deleting a page. I know that it didn't meet all the requirements and I understand that but someone deleted the page before I could even edit it. I am new to wikipedia, but would love to get my page un-deleted so it could follow the guidelines. This person disrespected me and my journalism ethics and I don't find that quite fair. To add onto my last question. I would like to say that my work has been looked over by my boss at the job I work at, and was not just thrown together to throw together. This is an assignment my job gave me and I would like to not get fired for trying to do something on this website.",Y,N,N,Y,Y
71,how to create page?,Y,Y,N,N,N
72,"Hello, Could you let me know what the process is to create my own company page? What do I have to do before this is possible?",Y,N,N,N,N
73,Hello! My draft about Cherie Westell is ready for review. Could you please check if it can be moved to the mainspace? After publication I will add the image back to the infobox. Thank you!,Y,N,Y,N,Y
74,"Hello! I have a fantasy wrestling league that I've been working on for 2017 and I feel like it would be cool to share it and explain it to the world, while there is no official ""proof"" that it exists since it is completely fantasy and only written on paper, with no actual live events being promoted or taking place. Will this be possible to even publish?",Y,N,N,Y,N
75,How to type in Microsoft word,N,N,N,N,N
76,hi nice to meet you.,N,N,N,N,N
77,"How do you do? My name is Ruslan. I work in energy sector my working experience approximately 25 years. I created Wikipedia page 2 share the story of my parents who were great scientists I edited everything in line is requirements of Wikipedia, but unfortunately, somehow my article weren’t published yet has been already more than a month. Could you possibly help me or at least navigate me? What shall I do?",Y,N,Y,Y,Y
78,Hi how do I confirm things,N,N,N,N,N
79,Hi there's no media option to put in the image. Am I doing it wrong I need a tutorial lol... I know ur probably busy but the wiki tutorial was too complicated so can you explain it simpler for me pls? Thanks mentor bro,Y,N,N,N,N
80,"Hello, How do you do? I forgot my password and have only been able to retrieve my account today (after 3 years!). I want to add a wiki page for a company. What is the process like please? Thank you!",Y,N,N,N,N
81,"Hello! I came across a recent Wikipedia entry for a beloved friend and mentor who passed away in 2013. This was a famous theatre actor/director. I was concerned to see that while some of the entry was factually correct, some of it was not. As a retired English professor with many publications to his credit, it is important to me to correct the errors in this entry. Any assistance or direction would be much appreciated! Gratefully, Howard Kerner",Y,N,N,N,N
82,"Hi, how can make my own article",Y,N,N,N,N
83,"Hai! I was just curious as to the policy on changing the wording of sentences. If I see a sentence on an article that says; ""in the year __ the name of __ was changed to __,"" would I be allowed to change that wording into; ""The name of __ was changed into __ in (the year)"" Sorry if that sounds a little confusing, but I was just curious about this subject. Thanks a ton!!!!:3",Y,N,N,Y,N
84,Hi there! Thank you. I'm a little confused. I just created a page but it's displaying my username and not the name of the person for whom the page was created? And I hit "publish" but I'm not sure where it went?,Y,N,N,N,Y
