feature,spearman_r,p_value,sig
q_poly_feature_politeness_==Direct_question==,0.0974348378204058,2.787631499833499e-28,***
q_body_char_len,0.09737027921410848,3.024642969879959e-28,***
q_poly_feature_politeness_==2nd_person==,0.09097996628811825,7.449700285585907e-25,***
q_body_word_count,0.0839144467680908,2.2619666733941738e-21,***
q_link_count,0.0761615721914162,7.146456209173243e-18,***
q_poly_feature_politeness_==Gratitude==,0.07332109814332775,1.1283041198297595e-16,***
q_poly_feature_politeness_==Factuality==,0.0620427387471779,2.340887129264941e-12,***
q_tb_subjectivity,0.056914954559347045,1.2598303557702164e-10,***
q_vader_neg,0.05445629419323343,7.571106341038177e-10,***
q_has_url,0.05354973729303184,1.4388076568199162e-09,***
q_mentions_wp,0.049855768002736944,1.7697598667370263e-08,***
q_poly_feature_politeness_==1st_person_start==,-0.048717595652224874,3.704965553182428e-08,***
q_poly_feature_politeness_==Indirect_(greeting)==,0.047281990753100134,9.193644054469992e-08,***
q_poly_feature_politeness_==1st_person_pl.==,-0.04196167282574589,2.13380286850476e-06,***
q_is_indented,0.037735354418600715,2.0213166097507856e-05,***
q_poly_feature_politeness_==SUBJUNCTIVE==,0.03298695110528621,0.00019466730862305117,***
q_mentions_help,0.02989482531364343,0.0007343524097685496,***
q_persp_severe_toxicity,-0.026952611350063903,0.002334621800061223,**
q_poly_feature_politeness_==Apologizing==,0.025448996401596077,0.004051574651473076,**
q_persp_sexually_explicit,-0.022291309723318078,0.011822271881540442,*
q_persp_profanity,-0.02154321785538189,0.014978362146371098,*
q_vader_compound,0.021449629941299633,0.015421323390715412,*
q_poly_feature_politeness_==HASHEDGE==,0.02091848067637221,0.018160281939197758,*
q_persp_flirtation,-0.019773596454379816,0.025547923609452534,*
q_vader_pos,-0.01805108110349945,0.04150394436147388,*
q_persp_identity_attack,-0.017394949802254762,0.04948911148550495,*
q_template_count,0.0171048795480882,0.05340988383246547,
q_tb_polarity,0.017084426917810543,0.053695860237370246,
q_poly_feature_politeness_==1st_person==,-0.01610074741028342,0.0690360387311886,
q_poly_feature_politeness_==Deference==,0.013483388731204598,0.127861812651264,
q_poly_feature_politeness_==HASPOSITIVE==,0.013309129700815336,0.13286267814796435,
q_poly_feature_politeness_==Hedges==,0.012376761844097906,0.16222898023298868,
q_poly_feature_politeness_==Indirect_(btw)==,0.011787600917342279,0.18316272852867183,
q_poly_feature_politeness_==Direct_start==,0.011295862150624463,0.2021153043304634,
q_has_sig,0.010551845824597604,0.23344649836607426,
q_persp_threat,-0.008263620127321734,0.3507537220120909,
q_persp_toxicity,-0.007567673687509949,0.39280604450469714,
q_poly_feature_politeness_==Please_start==,-0.005940505624427521,0.5023501154045086,
q_poly_feature_politeness_==HASNEGATIVE==,0.0057267470854167135,0.5178528124362218,
q_persp_insult,0.003945257682618853,0.6559636746561811,
q_vader_neu,0.003071569162540218,0.728714072555377,
q_poly_feature_politeness_==Please==,-0.002285480941980105,0.7963509316007086,
q_poly_feature_politeness_==INDICATIVE==,0.0009238251380392546,0.9169180948654031,
q_poly_feature_politeness_==2nd_person_start==,-0.00026620662816047676,0.9760195602644026,
q_has_unsigned,,,
