cluster,pair_rank,pair_id,role,retention,outcome,cid,mentee_dist,emb_cosine_sim,question_text,reply_text,question_words,reply_words,mentee_name,mentor_name
0,0,c0_p0,A,high,1,15130,0.0,0.6793,How do I successfully write or create a page for myself on Wikipedia with it being successfully approved.,"Hi, thank you for reaching out. Having an article on Wikipedia is very simple. You just need to be notable enough to meet [POLICY], and your notability must be [POLICY] from [POLICY] that are independent of you. Also, ensure that your article does not [POLICY]. Thank you.",18,47,Magikbrain,Em-mustapha
0,0,c0_p0,B,low,0,12818,0.0,0.6793,"Hi, I want to create pages for some of living legends but they are not familiar with Wikipedia. to start this first I want to creat a page for myself, not a legend but want to understand the process. can you help and guide me how to do it","Hi @! I wouldn't recommend [POLICY], as you have a [POLICY], and probably don't meet the [POLICY] we require of people to have stand alone articles. However, if you have other subjects here's the steps to take:
# Ask yourself whether they meet [POLICY] (primarily, do they have significant coverage in [POLICY], independent, [POLICY]?)
# if the subject does, I would begin by creating a draft through [POLICY]. If you navigate to that link, there will be a blue button that says ""Click here to start a new article"". Click it! And you can create a draft page start writing your article, and submit it for review when it is 'done'.
# Make sure the article is cited to reliable sources, written from a [POLICY], and [POLICY].
For help with this, I would recommend reading [HELP_PAGE], and looking at existing articles on similar topics to see how they are written. [POLICY] is an interactive guide to the *basics* of editing, and if you have any further questions, feel free to ask them here or at [POLICY]! There are a lot of friendly editors happy to help you out. You can also experiment with editing on the draft you create (in step 2) without any major repercussions, or at [POLICY]. One of the best ways to learn how to edit is by doing it! We're here to help you through the inevitable mistakes
Happy editing,",49,234,Anwar369sadat,Eddie891
0,1,c0_p1,A,high,1,23433,0.0,0.6655,i want to write on Wikipedia about me,"Hi @, welcome to Wikipedia! Writing an article about yourself is strongly discouraged, you can read more about this at [POLICY].",8,21,Virender Rai,Justiyaya
0,1,c0_p1,B,low,0,12995,0.0,0.6655,How do I edit or create a Wikipedia page?,BadBoyEdits I would recommend taking a look at [POLICY]. It should answer your question and help get you started. Please let me know if you have any other questions!,9,28,BadBoyEdits,TheSandDoctor
0,2,c0_p2,A,high,1,21848,0.0,0.6508,I want to set up a Wiki Page for a local Historical Society. Any advice would be appreciated.,"Truthpuppy Hi, welcome to Wikipedia. For your local historical society, I'd suggest that you start an article in your . You can improve it there slowly, and make it ready for publishing as an article. To start with, write a few lines and add some online references. We can proceed from there. Happy editing!",18,52,Truthpuppy,MPGuy2824
0,2,c0_p2,B,low,0,7971,0.0,0.6508,how can I write a blog in wiki?,"Hello, @. ""Wikipedia is not a [WIKILINK] like [WIKILINK], [WIKILINK] or [WIKILINK], nor a [WIKILINK]. It is not a place to host your own [WIKILINK], [WIKILINK], [WIKILINK], [WIKILINK], or [WIKILINK]"" ([POLICY]). Please use some other service, such as [WIKILINK] or [WIKILINK]. ([WIKILINK] • )",8,41,Truth Revealer 2006,Chlod
0,3,c0_p3,A,high,1,31896,0.0,0.6045,"Hi. I wanted to know, how can you make a Wikipedia page? I'm new.",I've left a message on your talk page. The introduction and tutorial are a great place to start. Hope this helps! | ([LINK]),14,23,UWU. Lava,CREditzWiki
0,3,c0_p3,B,low,0,25774,0.0,0.6045,"I want to add my name on Wikipedia and what I do
For fame","Sorry @, that's not what we do here. See [POLICY].",14,10,Ekzydaniel,Asilvering
0,4,c0_p4,A,high,1,16344,0.0,0.5547,"hi
I am confused. I want to create a page about someone else and something else not me. This person nor their philosophy or work are in Wiki...How do I create the Title of the page and then how do i upload the document i have created? I used the format of Wikipedia to create the doc
Can you tell me also if there is a limit on the number of words? Thank you in advance fro your help.","Hi Dpatrick100. Wikipedia has its own standards on what is considered [POLICY] enough for inclusion. Generally, that is there [POLICY] (like a newspaper) that cover the subject [POLICY]. A guide for creating your first article can be found [POLICY].",79,38,Dpatrick100,Clovermoss
0,4,c0_p4,B,low,0,1062,0.0,0.5547,"Hello,
I was curious about the ability to create a new Wikipedia page for something I have direct knowledge on, but hasn't been made yet. Should I simply wait for someone else to make the page based on publicly available info, or should I make the page myself? It is for my nonprofit arts newspaper that's statewide in Ohio. You can see that it exists and has existed for one year now on the website (I can provide a link, not sure if it's allowed to share over this message.)
Thank you.","Any article on Wikipedia needs to meet the inclusion criteria which is generally referred to as ""[POLICY]"". This means that independent [POLICY] have written about the topic with some depth. As you are affiliated with the subject, you should also be aware of Wikipedia's [POLICY]. If you doi want to try to create an article, you would need to submit it as a [POLICY] for review through the [POLICY] process.",92,70,Jayapollopress,Whpq
1,0,c1_p0,A,high,1,23139,0.0,0.1073,"Hello, I'm somya, I want to publish an article on type foundry","@, Welcome! Creating a new article from scratch is extremely challenging, and new editors are strongly recommended to spend a few months learning how Wikipedia works, by making improvements to some of our existing seven million articles before trying it. When you do decide to have a go at a new article, you are highly encouraged to read [POLICY]. If you haven't already also check out [POLICY]; it's a lot of fun! Happy editing! —",12,74,Somyasilcharkhandelwal,Qwerfjkl
1,0,c1_p0,B,low,0,30803,0.0,0.1073,i want to update village in Chandauli District so please guide me,"Hi, and welcome to Wikipedia. Let me know how I can specifically help you.",12,14,Rakesh181089,GoldRomean
1,1,c1_p1,A,high,1,17165,0.0,0.215,"Hello. I was a project manager on the demolition of the arch bridge in Bellow Falls Vermont and can verify the accuracy of the destruction process. I do not see a simple way to edit the citation request. I worked for Reed and Reed, Inc. at the time (the firm with the demolition and new construction contract). I have a picture of the shape charges ""in action"" but do not know how to upload it. Thank you,","hi @! you could upload the image you took over at [WIKILINK]. once there the image can be used in Wikipedia. however just note that you have to be the one who took the picture or otherwise have the copyright over it, and that uploading it to commons means you have to release your image for use by anyone, including others making derivatives of it and commercial use of it (for example, setting the license to CC BY-SA 4.0 would be fine). happy editing!",77,84,ChewBird,Pahunkat
1,1,c1_p1,B,low,0,33240,0.0,0.215,"I want to Add John Delin, and Sam Young both excommunicated from Mormom (LDS) religion to the former members of the Church of Jesus Christ of Latter-Day Saints, former MORMONS.
They are both TRUTH tellers and both are knowledgable and add significant value to the current list. Both are highly visible and creditable. Both have several thousand followers who are also former Mormons.","Are you trying to get an article written about these people? We need them to be written about in reliable, secondary sources in detail. For more information, see [POLICY].",63,29,Sheila M. Strassburg,Lee Vilenski
1,2,c1_p2,A,high,1,23609,0.0632,0.2029,"Hi i was reading an article about operation enduring freedom in somalia and it said 3 north koreans were wounded, zero citations. So i just deleted it",@ Great! Thanks for catching that :D Remember to use an [POLICY] next time though but good job!,27,17,Young Pay,Justiyaya
1,2,c1_p2,B,low,0,8678,0.0632,0.2029,what is vandalism on wiki?,"Hello RobertDaLuz! Great question! Vandalism is where somebody tries to mess up a page on purpose. An example would be where somebody deletes part of a page without explaining why, putting nonsense characters on the page, etc. There are many other different types of vandalism as well. (Very Busy)",5,48,RobertDaLuz,Yoshi24517
1,3,c1_p3,A,high,1,16403,0.1514,0.1721,"Hello! I'm new here, and I wanted to add to the christianity page concerning modern christian victim complex and current (2016-2022) christian hate. I find the general article lacking, is this acceptable?","My main advice would be to read [POLICY]. Articles are meant to summarize what reliable sources say about a subject. [POLICY]. Feel free to be bold and try to make improvements, but if your changes are reverted don't [POLICY]. Politely discuss the changes you want to make on the revelant talk page instead. Does that help? I can clarify if nessecary. Feel free to come back here if you have any other questions.",31,73,Seidhr33,Clovermoss
1,3,c1_p3,B,low,0,13546,0.1514,0.1721,actor policia alguna peliculas,En que lo puedo ayudar?,4,5,Oscar lnn,Pyrrho the Skipper
1,4,c1_p4,A,high,1,30576,0.1514,0.1692,"does wikipedia have any rules about self-consistency or anything? this article ([LINK] states SMS Pommern was ""the fastest pre-dreadnought battleship in the world"" and describes its speed as 19 knots but this article ([LINK] states the Regina Margherita had a speed of 20 knots. It's so glaringly obvious that 20 knots is faster than 19 knots that I'm tempted to edit it, but I really want to be careful because I'm new to Wikipedia.","The issue isn't internal consistency, it's just probably what the work being referenced says. The authors of ""Die deutschen Kriegsschiffe"" likely weren't aware of the Regina Margherita when they made that statement. Rather than removing it, the statement could be attributed (the Pommern was described as the fastest pre-dreadnought battleship in the world), but if you should make the direct comparison is a better question for the military history editors. Try asking on the talk page? [LINK]",74,77,Anthonymrainey,Reconrabbit
1,4,c1_p4,B,low,0,592,0.1514,0.1692,When did Hello Start?,"In 1826, see our article about [WIKILINK].",4,7,Bbukowsky,Lectonar
2,0,c2_p0,A,high,1,31741,0.0,0.4303,hi i am a new editor i want to know to how to add,See [HELP_PAGE]. ([TALK_PAGE]),14,3,Chinmay dokania,Tenshi Hinanawi
2,0,c2_p0,B,low,0,3881,0.0,0.4303,What is recommended when choosing topics to edit?,"Hi Esther Kiragu and welcome to Wikipedia. I don't know that there is a recommendation for topics to edit; it's your choice. Many topics, for example, those within the scope of [POLICY] and [POLICY] have their own guidelines related to editing articles within the topic area. So you might check out the ones that are within your interest area; lists of WikiProjects here: .
There are a lot of articles in this category, , which would benefit from [POLICY]-ish types of edits.
Also, I left a welcome message on with some links for newcomers.",8,90,Esther Kiragu,Rosiestep
2,1,c2_p1,A,high,1,14633,0.0001,0.8429,"Hello
HOW DO I SAVE MY EDITS AND CONTINUE ANOTHER TIME?",Work in your sandbox and just publish. Then when you're satisfied copy and transfer.,11,14,Blessing Isoyip,Jenhawk777
2,1,c2_p1,B,low,0,29370,0.0001,0.8429,"Hi, How do you save what you have edited?","Hello , and welcome to Wikipedia! There is a button called Save/Publish changes in which allows you to save your edit(s). You can also add in an [POLICY] to explain what changes you have done (optional, but recommended). I hope my reply helps, and thank you. 🤔",9,46,ROSLYNSchutte,Codename Noreste
2,2,c2_p2,A,high,1,16474,0.0031,0.7754,How do I edit?,"Hi @, welcome to Wikipedia! You can edit [POLICY] every page on Wikipedia by clicking the ""Edit"" button. There are some policies and guidelines about content and editing practices; you'll learn those as you start editing. Generally speaking, if there's something you can do to improve Wikipedia, be [POLICY] and do it! If you mess up, anyone can easily fix any mistakes you might have made. However, I would recommend that you read about the most important principles of Wikipedia before you start editing: the [POLICY]. Another great resource to get started is [POLICY]. You should also be aware that editors are discouraged from writing about themselves or topics that they have a connection to (like employers or friends), as that makes it [POLICY] to be [POLICY]. Last thing, I promise: Everything in Wikipedia articles should be based on [POLICY] so that readers can [POLICY] it.
I know it can feel overwhelming to have all this information to read through, but don't be discouraged; you'll learn the ropes in no time, and the best way to do that is to just start improving articles in whatever way you can. If you have any questions, I'd be happy to help you. You can reply to this message and I should get back to you quite quickly :) Happy editing! ,",4,217,Soro333,Actualcpscm
2,2,c2_p2,B,low,0,35710,0.0031,0.7754,how to edit page,"EnglishEditor123, see [HELP_PAGE].",4,2,EnglishEditor123,Zoozaz1
2,3,c2_p3,A,high,1,31258,0.1448,0.6118,How do I move from copywriting to more advanced editing? is it just a matter of surfing until a find an inconsistency?,"Hi! I'd suggest checking out the [POLICY] to help you find and learn the more advance types of editing. Also note that you don't have to switch to the more diffucult types if you don't want too. Copy-editing is perfectly acceptable for all editors to do, and many of us do it on a near daily basis.",22,57,ArkVyas,MuffinHunter0
2,3,c2_p3,B,low,0,1561,0.1448,0.6118,How do I improve my editing skills,Hello! Information on how you can improve Wikipedia can be found at [HELP_PAGE]. Feel free to ask more questions if you need help with any specific area of editing.,7,29,Davisthenigerian,Iffy
2,4,c2_p4,A,high,1,6915,0.1514,0.6367,How long does it normally take for an edit to show up?,"Sasquatchx2 Hello, and welcome to Wikipedia. Edits appear immediately once you click the “publish” button when making an edit.",12,18,Sasquatchx2,Cyberdog958
2,4,c2_p4,B,low,0,6182,0.1514,0.6367,how do i make an edit,"Much the same way as you made this one. Click on an [edit] tab or an [edit source], tab type your edit in, check the preview, add an edit summary describing briefly what the edit is about, and click on the publish button. The details depend on which namespace you are editing, whether you are using source editor or visual editor, or mobile, and maybe a few other things. For a more detailed explanation I need to know what kind of edit you mean. You can also try reading [HELP_PAGE]. :",6,90,God is Good good is god,Pbsouthwood
3,0,c3_p0,A,high,1,18202,0.5297,1.0,Hello,"Hi Acenexice, welcome to Wikipedia! Let me know if I can help in any way :) Happy editing,",1,16,Acenexice,Ferien
3,0,c3_p0,B,low,0,5122,0.5297,1.0,Hello,Hello ! Welcome to Wikipedia. Let me know if there's anything I can do to help you. ( / ),1,16,Mukambo Joe Kennedy,Firefangledfeathers
3,1,c3_p1,A,high,1,11152,1.665,1.0,Hello,@ Welcome to Wikipedia! I enclosed some helpful links on your talk page ~ (he/him • ),1,13,Pencils are cool1234,Shushugah
3,1,c3_p1,B,low,0,17420,1.665,1.0,Hello,"Geomarni Hello, and welcome to Wikipedia! Let me know if you have any questions",1,13,Geomarni,HouseBlaster
3,2,c3_p2,A,high,1,33058,1.9812,1.0,Hello,"Hi @! Nice to meet you 😄 Is there anything I can help with? (he/him )
==Happy Birthday!==
[TEMPLATE]
Ooh,Happy Birthday! ' Has about 7.9% of all [POLICY]
Adam Cuerden! Have a nice day! (he/him )",1,32,WinterMilton,Frostly
3,2,c3_p2,B,low,0,13655,1.9812,1.0,Hello,"@: Hi, is there something I can help with?",1,9,Es Yøur'boii Kidå,Bsoyka
3,3,c3_p3,A,high,1,10048,2.0476,0.9614,Hello,"Hi Drfariki, did you want me to look at that draft? (Ping me or leave a message on my [TALK_PAGE])",1,19,Drfariki,Alextejthompson
3,3,c3_p3,B,low,0,25657,2.0476,0.9614,hello,"Hi @, welcome to wikipedia!",1,5,Gora Gosj,Asilvering
3,4,c3_p4,A,high,1,33089,2.5463,1.0,Hello,"Hi @, is there anything you need help with?",1,9,Ihsanullah Danish,Asartea
3,4,c3_p4,B,low,0,3564,2.5463,1.0,Hello,"Aditya, fire., hi! do you have a question I can answer for you?",1,11,"Aditya, fire.",Calliopejen1
4,0,c4_p0,A,high,1,14719,0.0,0.6954,"Hello, how do I create a citation",[POLICY] should be able to help you :),7,7,Elias kings,Kingsif
4,0,c4_p0,B,low,0,28889,0.0,0.6954,"Hello, when editing, what are the most important things to consider? And also, how to create a citation.","Hello @ and welcome to Wikipedia! For the first question ([POLICY]-wise), I would probably say the [POLICY], which are the basic policies involving [POLICY], [POLICY], and [POLICY]. As for citations, the basic [POLICY]markup syntax is ref ... /ref . The button in the editing toolbar provides a form for generating citations. I recommend you check out the [POLICY]ntroduction to Wikipedia, which covers all of these, as well as some other basics. —",18,69,Ben Tedonang,2NumForIce
4,1,c4_p1,A,high,1,4576,0.2764,0.7901,Hello how can I give a Citation ?,Arshad0205 Start here: [HELP_PAGE].,7,3,Arshad0205,Glane23
4,1,c4_p1,B,low,0,17329,0.2764,0.7901,Hello how do i create citutaion,Hi ! You can check out [HELP_PAGE] for information :),6,8,Riyoben,HouseBlaster
4,2,c4_p2,A,high,1,39705,0.3809,0.6976,"Hi there, do you know how to make a citation? I'm not completely sure. Thanks!","Hi ! Welcome to Wikipedia! To add in-line citations, you'll simply surround the reference information using ref tabs, like this: [SOURCE INFORMATION]. Most likely, the sources you'll be using will be from the internet. The best thing to do would be to use the [TEMPLATE_REF] template and then surround that with ref tabs. An example would be [CITATION]. You can review the different parameters that you can use within the cite web template by clicking [TEMPLATE_REF], and you can read more information about citing references in-line by clicking [POLICY]. Please let me know if you have any more questions and I'll be happy to answer them and help you further. :-) Best",15,110,Helpfulgent,Oshwah
