feature,partial_spearman_r,p_value,sig
q_link_count,0.2075411795174575,4.199119937659473e-124,***
q_poly_feature_politeness_==Factuality==,0.18180900615486165,3.303244546591857e-95,***
q_poly_feature_politeness_==1st_person_start==,-0.18054039231501398,6.885739527538106e-94,***
q_poly_feature_politeness_==1st_person_pl.==,-0.16555803906347183,4.753062254177302e-79,***
q_is_indented,0.1604826061959937,2.4969889716846473e-74,***
q_poly_feature_politeness_==Gratitude==,0.12829411313429673,6.113034855004219e-48,***
q_poly_feature_politeness_==2nd_person==,0.1272693976725129,3.363937758286326e-47,***
q_poly_feature_politeness_==Apologizing==,0.12328226520169223,2.242218491350239e-44,***
q_poly_feature_politeness_==HASHEDGE==,0.11803545403246658,8.451897739860771e-41,***
q_poly_feature_politeness_==Direct_question==,0.11230812704593407,4.469396564004872e-37,***
q_has_url,0.11031490533385865,7.979665512471486e-36,***
q_mentions_help,0.10807169539211296,1.9212499088214054e-34,***
q_poly_feature_politeness_==HASNEGATIVE==,0.09872971965052223,5.363467737732438e-29,***
q_template_count,0.08775840944532622,3.1238292644775195e-23,***
q_vader_neg,0.08252855875332948,1.0109069370672477e-20,***
q_poly_feature_politeness_==Indirect_(btw)==,0.07575708923070333,1.0653029365817303e-17,***
q_poly_feature_politeness_==SUBJUNCTIVE==,0.07454918277570201,3.46599153992446e-17,***
q_mentions_wp,0.07204502120168658,3.768633821912645e-16,***
q_poly_feature_politeness_==Please_start==,-0.0695431958590985,3.774272784344325e-15,***
q_poly_feature_politeness_==Hedges==,0.06556517375069353,1.2490631659021854e-13,***
q_poly_feature_politeness_==1st_person==,-0.06362481143773127,6.399868542357586e-13,***
q_poly_feature_politeness_==Indirect_(greeting)==,0.05711343393130899,1.0864156244660647e-10,***
q_poly_feature_politeness_==2nd_person_start==,0.055215849921828236,4.3860817345208253e-10,***
q_body_char_len,0.051181943691625084,7.331081985140927e-09,***
q_has_sig,-0.04803211400714445,5.736442520396874e-08,***
q_body_word_count,0.04295794158397729,1.2162623187840275e-06,***
q_poly_feature_politeness_==Direct_start==,0.032606796732126464,0.0002306163163244223,***
q_poly_feature_politeness_==Deference==,0.027105592781542676,0.002203967343428466,**
q_poly_feature_politeness_==HASPOSITIVE==,0.026386229105372173,0.00288246524812766,**
q_persp_toxicity,-0.024220498237629028,0.006231697825857931,**
q_tb_subjectivity,0.023943711624637223,0.00684966128008395,**
q_persp_insult,-0.023676528961926527,0.007497843917174428,**
q_persp_profanity,-0.02228448988177597,0.011848149675645108,*
q_persp_identity_attack,-0.022280823472880865,0.011862082561999074,*
q_vader_compound,0.0203178898220222,0.02176210550203001,*
q_persp_threat,-0.01949720042079477,0.027679698243499327,*
q_persp_severe_toxicity,0.018136751212808545,0.04054666055709602,*
q_poly_feature_politeness_==INDICATIVE==,-0.017360161932419925,0.04994620290881233,*
q_persp_flirtation,-0.016756927214469846,0.05845189561577448,
q_vader_pos,-0.005519737441901398,0.5330985159151582,
q_poly_feature_politeness_==Please==,-0.004368353248370109,0.6218228441447766,
q_tb_polarity,-0.003286077442387455,0.7105938393115637,
q_vader_neu,-0.0015205440277210327,0.8636756972596067,
q_persp_sexually_explicit,0.001196693759114358,0.8925103179990254,
q_has_unsigned,,,
