Feature,Coef,AbsCoef,Label
n_edits,0.5273806352059612,0.5273806352059612,Prior edits (total)
ns0_mainspace,-0.36161128128346276,0.36161128128346276,Mainspace edits
q_substantive,0.19078640851865297,0.19078640851865297,Q-type: Substantive
emb_pc0,-0.13301955959568232,0.13301955959568232,Embedding PC0
ym_2026-03,-0.10910648698842279,0.10910648698842279,YM: 2026-03
q_poly_feature_politeness_==Indirect_(greeting)==,0.1069468603165503,0.1069468603165503,Polite: Indirect_(greeting)
ns4_wp,-0.09852526362377675,0.09852526362377675,Wikipedia-ns edits
ym_2026-04,-0.09630577250518103,0.09630577250518103,YM: 2026-04
tag_discussion,-0.09357606186684378,0.09357606186684378,Discussion comment
q_poly_feature_politeness_==Direct_question==,0.08875659140892489,0.08875659140892489,Polite: Direct_question
q_vader_pos,-0.0884553113658868,0.0884553113658868,Sentiment (pos)
q_body_char_len,-0.08318792910070001,0.08318792910070001,Q length (chars)
ym_2025-12,0.07034757973491923,0.07034757973491923,YM: 2025-12
ns3_usertalk,-0.06600798441031835,0.06600798441031835,User-talk edits
ym_2025-11,0.06307584550899151,0.06307584550899151,YM: 2025-11
q_has_unsigned,0.059188972954944914,0.059188972954944914,Q unsigned
ym_2022-03,0.05803315096038981,0.05803315096038981,YM: 2022-03
ym_2024-07,-0.05733906670256307,0.05733906670256307,YM: 2024-07
max_sizediff,0.055686902115762896,0.055686902115762896,Max byte change
ns2_userpage,-0.05556248646710293,0.05556248646710293,User-page edits
q_body_word_count,0.05550065617842991,0.05550065617842991,Q length (words)
q_vader_neu,-0.05436337992534384,0.05436337992534384,Sentiment (neu)
q_normative,0.052593015305519346,0.052593015305519346,Q-type: Normative
std_sizediff,-0.05239191795945906,0.05239191795945906,Std byte change
q_poly_feature_politeness_==1st_person_start==,0.05220985815303299,0.05220985815303299,Polite: 1st_person_start
ym_2026-01,0.051018857962070625,0.051018857962070625,YM: 2026-01
q_own_work,-0.05005643960605989,0.05005643960605989,Q-type: Own Work
q_poly_feature_politeness_==1st_person==,0.04932904539246019,0.04932904539246019,Polite: 1st_person
q_poly_feature_politeness_==Direct_start==,0.046655657833970174,0.046655657833970174,Polite: Direct_start
q_vader_neg,-0.046601648129888366,0.046601648129888366,Sentiment (neg)
ym_2021-10,0.044369832704607544,0.044369832704607544,YM: 2021-10
ym_2026-02,-0.04417051291722626,0.04417051291722626,YM: 2026-02
q_referent,-0.042806113337050915,0.042806113337050915,Q-type: Referent
log_create,0.042506886647433746,0.042506886647433746,Page creations
emb_pc6,-0.04127607458078368,0.04127607458078368,Embedding PC6
q_persp_insult,0.040625381605548815,0.040625381605548815,Persp: Insult
ym_2024-11,0.04052020473066362,0.04052020473066362,YM: 2024-11
emb_pc12,0.039602600604610516,0.039602600604610516,Embedding PC12
revert_rate_pre,-0.038751244522313544,0.038751244522313544,Pre-Q revert rate
ym_2022-02,0.03827279562187959,0.03827279562187959,YM: 2022-02
q_has_sig,0.037214618867626933,0.037214618867626933,Q has signature
n_edits_7d,0.03714625495530292,0.03714625495530292,Prior edits (7d)
ym_2025-08,-0.037036118778524973,0.037036118778524973,YM: 2025-08
q_tb_subjectivity,0.03439168298010798,0.03439168298010798,Subjectivity
emb_pc17,-0.03315336493925559,0.03315336493925559,Embedding PC17
avg_sizediff,0.0331269396058473,0.0331269396058473,Avg byte change
ym_2021-09,0.032481736807060964,0.032481736807060964,YM: 2021-09
q_poly_feature_politeness_==Please_start==,0.029488561441922505,0.029488561441922505,Polite: Please_start
ym_2024-12,-0.02931348209042039,0.02931348209042039,YM: 2024-12
q_has_article_context,-0.02927273479734462,0.02927273479734462,Q from article context
ym_2025-02,-0.028428059561919312,0.028428059561919312,YM: 2025-02
ym_2022-04,0.028404486314932285,0.028404486314932285,YM: 2022-04
ym_2021-11,0.027944017189132506,0.027944017189132506,YM: 2021-11
emb_pc10,0.027425593249999426,0.027425593249999426,Embedding PC10
ym_2024-01,0.026323836340099528,0.026323836340099528,YM: 2024-01
q_persp_severe_toxicity,-0.0263225653276954,0.0263225653276954,Persp: Severe tox
ym_2022-11,-0.02504241228255462,0.02504241228255462,YM: 2022-11
ym_2025-06,-0.02441877501329102,0.02441877501329102,YM: 2025-06
ym_2022-06,0.024160755735318666,0.024160755735318666,YM: 2022-06
q_poly_feature_politeness_==INDICATIVE==,-0.02354823731436566,0.02354823731436566,Polite: INDICATIVE
emb_pc5,0.023344658744665438,0.023344658744665438,Embedding PC5
q_appraisal,-0.023235800532607504,0.023235800532607504,Q-type: Appraisal
ym_2024-02,0.02249719488171298,0.02249719488171298,YM: 2024-02
ym_2025-05,-0.021831719727005622,0.021831719727005622,YM: 2025-05
ym_2024-09,0.02169098721354134,0.02169098721354134,YM: 2024-09
ym_2022-01,0.02082404195978717,0.02082404195978717,YM: 2022-01
tag_mw_reverted,-0.02059306726135117,0.02059306726135117,Reverted (tag)
n_reverts,-0.02059306726135117,0.02059306726135117,Prior reverts
mainspace_ratio,0.020467174019218985,0.020467174019218985,Mainspace ratio
emb_pc16,-0.02036595737401298,0.02036595737401298,Embedding PC16
ym_2021-08,0.020312819764138956,0.020312819764138956,YM: 2021-08
emb_pc4,-0.02011639336422531,0.02011639336422531,Embedding PC4
q_poly_feature_politeness_==1st_person_pl.==,-0.019559652962945723,0.019559652962945723,Polite: 1st_person_pl.
ym_2025-09,0.01911943183161772,0.01911943183161772,YM: 2025-09
q_persp_identity_attack,-0.018653022981598162,0.018653022981598162,Persp: Identity attack
account_age_hours,-0.018581255959332157,0.018581255959332157,Account age (h)
q_template_count,0.018461756947979784,0.018461756947979784,q_template_count
emb_pc7,-0.018368061272380002,0.018368061272380002,Embedding PC7
q_poly_feature_politeness_==HASNEGATIVE==,-0.018074135461492648,0.018074135461492648,Polite: HASNEGATIVE
ym_2023-06,0.01796782211933846,0.01796782211933846,YM: 2023-06
emb_pc3,-0.01789594465819371,0.01789594465819371,Embedding PC3
ym_2025-10,0.01767468016621835,0.01767468016621835,YM: 2025-10
q_poly_feature_politeness_==Indirect_(btw)==,0.01762514722421213,0.01762514722421213,Polite: Indirect_(btw)
ym_2023-05,0.017291407993125014,0.017291407993125014,YM: 2023-05
emb_pc13,-0.01705302171426181,0.01705302171426181,Embedding PC13
emb_pc9,-0.01639687953303322,0.01639687953303322,Embedding PC9
q_poly_feature_politeness_==HASHEDGE==,-0.015881082161073732,0.015881082161073732,Polite: HASHEDGE
q_mentions_help,0.015701938802555677,0.015701938802555677,Q mentions help
ym_2024-05,0.015223817180293675,0.015223817180293675,YM: 2024-05
ym_2022-08,0.014538650937922835,0.014538650937922835,YM: 2022-08
emb_pc19,-0.014336354728108269,0.014336354728108269,Embedding PC19
