group_id,cell,conversation_id,active_days_14d,active_days_30d,retention_14d,mentee_n_edits_pre,mentee_acct_age_hours,reply_words,reply_lag_hours,question,reply
1,qc_1_m0,3792,14,16,1,8.0,1970.6,63.0,13.1,"Hello, can I ask you a question. How do I create a citation?","Hi AlfieRosa and thanks for your question. [HELP_PAGE] with instructions on how to add references and it includes citation templates. At the bottom of that help page, there are links to other help pages regarding citations/references, such as different citation styles, etc. The link on the right side is for a 6 minute video housed on Wikimedia Commons regarding how to create citations."
1,qc_1_m0,3955,9,20,1,8.0,125.5,41.0,1.5,How do I create a citation?,"Hi MihaelaLovri and welcome to Wikipedia. [HELP_PAGE] is a help page page on how to create a citation. [POLICY] are some citation template options. [POLICY] is information about inline citations. And last but not least, [POLICY] is general information regarding sources."
1,qc_1_m0,31233,0,0,0,21.0,131.7,22.0,9.0,"Hello, how do I create a citation?","Thats very simple. you have to put your [HELP_PAGE] between and tag. if you want any extended tutorial, do let me know.––"
1,qc_1_m0,14099,0,0,0,5.0,0.9,134.0,10.3,"Hello, how do I create a citation?","Sean J. Prescott Good day! When citing web sources on Wikipedia, it's best to use [TEMPLATE_REF], and for books, use [TEMPLATE_REF]. You can also enable the [POLICY] to add citations easily to articles. With VisualEditor, simply copy and paste the URL into the citation box and click ""create."" However, if the author's name isn't in the usual place (typically the top left corner of the article), VisualEditor might not capture it, and you'll need to add it manually.
I recommend going through [POLICY] (The Wikipedia Adventure) and exploring the tutorial sections of the ""Welcome message"", which can be found in the top left corner of your Talk page. This will help you get familiar with fundamental guidelines and helpful instructions.
Feel free to ask if you have any further questions! Stay safe and best."
1,qc_1_m0,18674,0,0,0,3.0,118.5,22.0,0.3,"Hello, how do I create a citation?","Hi@, welcome to wikipedia. To create a citation, follow the steps at [POLICY]. Please be sure to use [POLICY]. Happy editing !"
2,qc_1_m0,30336,9,15,1,10.0,8.1,9.0,56.0,How do I create a citation?,Welcome to Wikipedia! Please read [POLICY] for more info.
2,qc_1_m0,13047,3,3,1,3.0,81.4,13.0,17.4,How to create a citation,"Suresona Please see [POLICY]. If you have any questions, please let me know!"
2,qc_1_m0,30939,0,0,0,2.0,313.6,72.0,41.5,How do I create a citation?,"Hello @! There are 3 ways I know of.
# For an easy auto-generated way, see [POLICY]
# For a more difficult way you need to make, see [HELP_PAGE]
# For using trusty [WIKILINK], see [POLICY].
Thanks. ~ (He, him) • • •
Hello, @, and welcome! In addition to the helpful tools Rafael mentioned below, there are helpful referencing tutorials at [POLICY] (source editor) and [POLICY] (for the visual editor). Cheers,"
2,qc_1_m0,4205,0,0,0,4.0,36.3,44.0,3.1,How do I create a citation?,"Hi Albert Cuen and welcome to Wikipedia. To create citations, the simplest way is to use one of the following tools: [POLICY] or [POLICY]. I personally use the latter because the parameters of the citation can often be generated automatically from a url. Cheers,"
2,qc_1_m0,23244,0,0,0,28.0,1526.9,4.0,14.8,How do I create citation ?,", see [HELP_PAGE]. —"
