question_cluster,label,n,retention_14d,retention_2d,sample_questions
-1,noise,4417,0.2357,0.1302,"Hello Canon, I was wondering if you believe this Wiki page is good enough? ||| Hello,
I resent that Milchan is characterized as someone who made his billions simply as a movie producer, when in reality he was set up in that business by the Israeli ultra-zionist government with millions, solely to spy on Americans. He has enlisted american citizens to spy on anyone who opposes Israel’s occupation of Palestine. He helped provide support for apartheid South Africa. Where is the whole truth? ||| Hi,
I'm a professor in quantum science at the University of Maryland, Baltimore County. I joined because I want to create a record of a technical theme that I think is of interest to the community interested in quantum science: Geometric Quantum Mechanics. ||| Hi
I'm trying to draft my first Wikipedia page. Some blocks of my text are green hatched out in the Visual Editing mode. The error is ""Sorry, this element can only be edited in source mode.""
Can you tell me how to remove this please?
I have had a look around Google & Wiki help pages but not found the solution.
Regards & thanks
WozzaHoad ||| I would like to remove a line in the page of Francesca Albanese [LINK]
Text to be removed is
and Research Fellow at the International Institute of Social Studies of Erasmus University Rotterdam.
The text is twice in the page.
The info is incorrect but I cannot edit the page, it's protected. I have used the talkpage but i noticed that also a colleague has done that before me without any result."
1,qc_1,476,0.271,0.1555,"Hi. How do I add info and create a proper citation? ||| how do i create a citation and how can i add manual references?? ||| Hello how do I cite a source ? ||| Hello! I would want to begin with a simpler query: how do you get your citations, and how do you verify them by cross-referencing ? ||| Hello, how do I create a citation?"
2,qc_2,55,0.5818,0.4182,"Hello, how do I fix the formatting error on my user page? Sometime on small screen laptops it works but on my Windows 11 laptop the words ""Userbox templates... "" are slightly cut off (and resume after the Wikipedia Adventure badges). How to fix this? Also, different screen size shows differently. Thank you! ||| Hello, how do I make a taxobox? ||| Hi! I wanted help regarding how I can automate my taxobox. ||| Hi! I was wondering how do i make a userbox and a userbox section for my user page. I also wouldn't mind tips on how to make a user page.
Cheers! ||| Hey there! How do I add user boxes to my profile? Is it just standard HTML?"
3,qc_3,254,0.2795,0.1654,"Hi there! I am wanting to replace the image on the page for a public person, I have the image and its been added to wikimedia, and the copyright holder has emailed wikimedia commons allowing for it to be used. Can you please help me as I can't find how to? Thank you! ||| Hi, How to add a new publication in Wikipedia with puctures ||| How to upload image on wikipedia ||| Hello, I just want to replace my photos on my Wikipedia page. Can you help? ||| I found a Wikipedia page on my relative who for good or bad had some prominence in NJ. There is no picture of him here. I do have a crappy one from his passport application online. Does it make sense to add it?"
4,qc_4,25,0.08,0.04,"Hi, I wanted to know how to insert or upload a video to an article ||| hi mentor upload my article otherwise I tear your ass
if you not upload my article you are gay ||| Hi i have an article ready in my user page i want to upload it in housing society(category)/housing co-operation ||| Hello I Can't Upload my lines in article. ||| How do I upload an article"
5,qc_5,109,0.2936,0.2018,how can I add pictures supporting article ||| How can i attache picture in my article ||| hello pls how do i upload images in an article ||| How to I properly add photos/posters to film/television articles ||| Hi how do I add a photo on someone else's article
6,qc_6,177,0.1017,0.0621,"How to change my user name? ||| Hi Melody :)
Is there a way to change my username after it’s created? I think I would like OwenBreitbarth better. In camel case. ||| Hi! I have a question about changing my name if possible. How can I do that? Thank you :D ||| how do i change the name on the profile ||| Hi
I want to change username
Can you please guide me"
7,qc_7,60,0.1333,0.05,"Hello, am I finish to register ||| hello have a question are there any memberships i could buy ||| Hi I am new here I would like to know how can I create an account for myself ? ||| Register my login ||| Hello I want to send Lidia a question. I tried to sign in did it work"
8,qc_8,36,0.0556,0.0,"How do I delete my account and start a new one with the correct nametag I would like? ||| Hello, I don't know if you can help me but I want to delete my profile. I cannot find how. ||| Hello, how do i delete my account ||| Hello, I don't know if you can help me but I want to delete my profile. I cannot find how. ||| Hi , I’d like to delete my account."
9,qc_9,26,0.4231,0.3462,"Hi,
I've tried creating a page & thought I was using a template but I've no idea how to change it. Help please ||| How do I input data? is there a template? ||| How do i create template ||| Hello, I'm trying to translate pages but I am unable to copy templates. How do I do that? ||| Hello
Thanks for helping
I would like to add an image to a page that has a template. How do I upload the image?
Thanks.
Chip"
10,qc_10,35,0.3143,0.2,"How can I create collapsed sections ||| How do I add a new section ||| Hello, how do I add the things on the side that show different sections ||| How do I make separate sections for specific things? ||| How do I add a new ""sub section"" (I'm not sure if that's the right terminology) to an article?"
11,qc_11,33,0.0606,0.0303,How do I set my profile photo ? ||| How do I add a profile picture? ||| Can I have a profile picture? ||| How can i put profile picture ||| Resim eklemek ve profilimde meslek yazmak istiyorum
12,qc_12,125,0.184,0.088,"how do i upload a free use photo ||| How to put a photo up ? ||| Hello
How are you?
how do I upload a photo to use ? ||| How do I upload a photo ||| hello, i want to upload a file about a token, how do i go about it?"
13,qc_13,82,0.2073,0.122,"How do I add picture to a page? ||| hello, I am a new editor. I just do a edit according to the perfect guideline from yt tutorial but in the page of contribution, it's not showing. And I also i wanna know how to add picture in a template.
Pardon me for my bad english ||| Happy NY!
I’m trying to add a photo and caption to an existing Gallery section on Edmund Blunden’s page. I’ve clicked on Edit and there’s no dropdown menu for adding said photo ||| Hello,
I'd like to add some photos to the page 'Aberdare Golf club'. I cannot seem to find how I add the images into the page though. ||| Hello. How do you add pictures to pages. Also I was thinking about making a page about a military general that doesn’t have a page yet. Any tips?"
