cluster,pair_rank,pair_id,role,retention,outcome,cid,mentee_dist,emb_cosine_sim,question_text,reply_text,question_words,reply_words,mentee_name,mentor_name
0,0,c0_p0,A,high,1,4215,0.2915,0.0,"On this page; [LINK]
The link for the [8] reference doesn't work. It takes you to a page that says ""This item is no longer available.""
This is one: Manwell, J. F.; McGowan, J. G.; Rogers, A. L. (February 2012). Wind Energy Explained: Theory, Design and Application
What should be done about this?","Hi RickCalifornia and welcome to Wikipedia. Thanks for noticing this broken link. I've replaced the link to the Internet Archive by one to the book publisher's website. Cheers,",53,27,RickCalifornia,Pichpich
0,0,c0_p0,B,low,0,41044,0.2915,0.0,I have produced a new album for Australian singer Jeannie Lewis and want to add it to her discography,"That sounds like a [POLICY]. I will supply you with info on how to request edits to articles whose topic you have a COI on, on your talk page.",19,29,Jemdrum,UtherSRG
0,1,c0_p1,A,high,1,11055,0.4547,0.1226,"Hi I need to change the page relating to Robert Bostock as a Slave trader.. 'Although accused it later transpired that he was not in Sierra Leone at the time, and the charge was not valid. On landing in Sydney on the 25 April 1815 he set about securing his pardon, which he won on the 31 January 1816.' this is taken from the Bostock Genealogy website.
Thank you.
Alex",:Did you provide any references to back your statement? or you just removed it? Its best you add a citation or source or reference to back your claim.,70,28,Alexander Bostock,Ampimd
0,1,c0_p1,B,low,0,9026,0.4547,0.1226,"When giving examples of identity politics, why zionisim was not mentioned as an example of an influential movement that was inspired by and predicated on identity politics?!","Husseinomar1411 Wikipedia is based on [POLICY]. Can you give some reliable sources (the three highest-quality you have read would be ideal) that say that Zionism ""was inspired by and predicated on identity politics""? —",27,32,Husseinomar1411,Bilorv
0,2,c0_p2,A,high,1,32242,0.507,0.1871,Hi. Not sure how to edit but the Rotherfield page states that the more westerly river Rother is a tributary of the Adur; it actually runs into the Arun.,"Hi @, thanks for pointing that out!
If you have a reliable source confirming that, you can fix it by clicking Edit on the article. Update the sentence using the Visual Editor, add the source via Cite in the toolbar, then click Publish changes.",29,44,John Edwin Porter,Bagwe Neza
0,2,c0_p2,B,low,0,1835,0.507,0.1871,Hello- can I add an image to reference of football being played at College Park in the early 1960’s?,"Hi @, nice name! You can do, but you would need to be clear on the copyright of the image and thus it would be helfpul if you had taken the photo yourself. [HELP_PAGE] is a tutorial.",19,37,RivieraSunshine,Mujinga
0,3,c0_p3,A,high,1,13134,0.5907,0.2027,"Hi there sand doctor, I would like to add a person I know, master chef who brought French fine dinning to Los Angeles in 1981 from France, he is a key player in French food in Los Angeles and cooking for many presidents as well thru out the 80s 90s, thank you for your help setting this up","Arijamon Welcome to Wikipedia! Articles need to satisfy the [POLICY] for people, which is accomplished by there being multiple [POLICY] sources (that are independent of each other) that have covered that chef extensively (think news stories, non-fiction books etc). If you can provide me with a name that would be a good start, as well as possibly what you believe to be the [POLICY] covering that chef. They don't have to be online sources (e.g. they can predate the internet, don't have to be in English etc.), but that does help if they are online. Let's see what we can figure out here!",58,102,Arijamon,TheSandDoctor
0,3,c0_p3,B,low,0,19460,0.5907,0.2027,"The list of first presidential electors needs to include:
General Samuel G. Clark (born 17 Feb 1741 in Westchester County, New York and died 17 Feb 1823 at age 82 in Malta, Saratoga County, New York) was one of the first presidential electors from the District, November 20, 1792. He voted for George Washington at his re-election. He was a presidential elector in 1796 when Federalist John Adams won and Democratic-Republican Thomas Jefferson became vice-president (the position of vice-president went to the person with the second highest number of votes until that process changed in 1804). Clark voted for George Clinton, former Governor from New York, in 1805-1809, who was running for vice-president with Thomas Jefferson against Aaron Burr.
Clark was commissioned Lieutenant by General Washington at White Plains; named Captain on June 16, 1778 and Major on May 6, 1779, both at Poughkeepsie; Lieutenant-Colonel on May 19, 1782, and Major on Oct 11, 1786, both at East Line, Saratoga Co.; Brigadier General of the 9th Brigade of Saratoga Co. on July 3, 1804; and became a Major General by March 8, 1814.
Clark served as a Judge and held the Court of General Sessions of Saratoga County in his home on May 10, 1781. He served as a Justice of the Peace (1791-1809), as County Treasurer (1792-1794), and as a Member of State Assembly (1796-1799 and 1800-1805).
His family attended the Presbyterian Church in Ballston Spa until around 1810, but he was involved with the Methodist Church. He died on his 82nd birthday in 1823, in Malta, Saratoga, New York and was buried in Ballston Center, Saratoga, New York.","@, if you wish to add to the [WIKILINK] and the [WIKILINK], you are free to do so as long as you provide [POLICY] to back up your additions.",267,29,PJ Hawley,Liu1126
0,4,c0_p4,A,high,1,32579,0.5907,0.2363,"Hello,
Originally, I was thinking of checking if I could make a suggestion on a wikipedia entry but I was thwarted by a block that made no sense to me as I had not been on wikipedia before (certainly not in an editing sense). Now that seems to have magically vanished and I have an account. I had been reading the entry for the Hollandsburg IN murders in 1977, reminding myself of details (I was a child when those murders took place and lived only a couple miles away). Now I'm finding that there is no entry specifically for the murders and I'm unsure as to why (my memory failing or something that has happened on wikipedia's end). All the same, the only information regarding those murders today, seems to be the names of the murderers while the victims are left anonymous. This is not what my original suggestion was going to cover but now I have to wonder why we should memorialize the murderers and not the victims. As to the suggestion I was hoping to make, I thought it should be known that the surviving mother's work to create a local radio station that her sons had wanted to do, was worth noting. I personally don't feel like I could do such editing or writing justice. Please advise? And thank you.","@ If you can find a source that mentions the radio station, and the victims names for that matter, please feel free to add it to the article. --",223,28,Monkeyplugg,Seawolf35
0,4,c0_p4,B,low,0,40638,0.5907,0.2363,I noticed that an article was inaccurate and I wish to update it. I have the tour schedule for Joe's Drum by John McGrath. I was a member of 7:84 theatre company in 1979 and know that the play toured until the 10th of November 1979. I have the complete schedule for the second tour of the play. The final performance was on the 10th of November 1979 in Cumbernaild theatre.How can I correct the article?,"Ladahosen Hi, if you spot an error, just change it. I left a welcoming template on your talk page that contains a useful introduction on how to get started here, including how to add references, links to policies and guidelines and how to manage conflicts of interest among other things.",76,49,Ladahosen,Shellwood
1,0,c1_p0,A,high,1,15130,0.0,0.6793,How do I successfully write or create a page for myself on Wikipedia with it being successfully approved.,"Hi, thank you for reaching out. Having an article on Wikipedia is very simple. You just need to be notable enough to meet [POLICY], and your notability must be [POLICY] from [POLICY] that are independent of you. Also, ensure that your article does not [POLICY]. Thank you.",18,47,Magikbrain,Em-mustapha
1,0,c1_p0,B,low,0,12818,0.0,0.6793,"Hi, I want to create pages for some of living legends but they are not familiar with Wikipedia. to start this first I want to creat a page for myself, not a legend but want to understand the process. can you help and guide me how to do it","Hi @! I wouldn't recommend [POLICY], as you have a [POLICY], and probably don't meet the [POLICY] we require of people to have stand alone articles. However, if you have other subjects here's the steps to take:
# Ask yourself whether they meet [POLICY] (primarily, do they have significant coverage in [POLICY], independent, [POLICY]?)
# if the subject does, I would begin by creating a draft through [POLICY]. If you navigate to that link, there will be a blue button that says ""Click here to start a new article"". Click it! And you can create a draft page start writing your article, and submit it for review when it is 'done'.
# Make sure the article is cited to reliable sources, written from a [POLICY], and [POLICY].
For help with this, I would recommend reading [HELP_PAGE], and looking at existing articles on similar topics to see how they are written. [POLICY] is an interactive guide to the *basics* of editing, and if you have any further questions, feel free to ask them here or at [POLICY]! There are a lot of friendly editors happy to help you out. You can also experiment with editing on the draft you create (in step 2) without any major repercussions, or at [POLICY]. One of the best ways to learn how to edit is by doing it! We're here to help you through the inevitable mistakes
Happy editing,",49,234,Anwar369sadat,Eddie891
