cluster,pair_rank,pair_id,role,retention,outcome,cid,mentee_dist,emb_cosine_sim,question_text,reply_text,question_words,reply_words,mentee_name,mentor_name
0,0,c0_p0,A,high,1,32336,0.305,0.9472,hello! I was wondering how to create a wiki,"C00lsl0th54 What do you mean by ""create a wiki"". Do you mean create an article, or to create a whole new database of articles on a topic that is separate from Wikipedia?",9,31,C00lsl0th54,Z1720
0,0,c0_p0,B,low,0,35466,0.305,0.9472,How to create a wiki,"@ You start out with edits that are much, much easier to do than writing an article, then you eventually go up to [POLICY]ion.",5,24,BlueWeeb,I dream of horses
0,1,c0_p1,A,high,1,652,1.9668,0.8307,How to create your own wiki page?,"Hi . Every editor has a [POLICY], you have created yours an it says [QUOTE] Am just a normal Man just..."" [/QUOTE]. If you meant a Wikipedia article, [HELP_PAGE] may help.",7,30,RipDBacorn,Commander Keane
0,1,c0_p1,B,low,0,32309,1.9668,0.8307,"hello, how do I make a wiki page and post it online for ever one to see.","Check out [HELP_PAGE]. That being said, it is best to get some editing experience. It's there something specific you want to write about? Happy editing.",17,25,Jamesharrisonlover72,Dafootballguy
0,2,c0_p2,A,high,1,28563,2.5363,0.8812,How do you create a wiki page?,"Hello! You can create a page directly on wikipedia if your account has the [POLICY] flag, which are automatically granted in accounts that are over 4 days old and has made at least 10 edits. However, creating a new page on Wikipedia is quite a workload, and often ends up in the page getting deleted for reasons, so I recommend starting out with adding information to articles to get the basics.
If you don't have the flag, you still can technically create articles through the [POLICY] process, which I highly recommend instead of making an article directly early on.",7,99,TheOmnipotentMod,AlphaBetaGamma
0,2,c0_p2,B,low,0,5250,2.5363,0.8812,How do i create my own wiki,"@ [POLICY] and [POLICY] may be of help to you. Creating an acceptable WP-article without having any experience in WP-editing is difficult, but if you have chosen an acceptable topic, it can be done.",7,34,Benji Sherman,Gråbergs Gråa Sång
0,3,c0_p3,A,high,1,25168,3.093,0.5682,How do I create a wiki page entery on mobile?,"Hi @, please see [POLICY]. I believe the general methods should be the same; feel free to ask again if you have specific difficulties.",10,24,Bellal Muhammed,Zippybonzo
0,3,c0_p3,B,low,0,14252,3.093,0.5682,hello. im new to wikipedia and we are trying to make a page for our group project. may u give us any idea on how to make a wiki page?,"Group4presention Good day and thank you for the question. First of all, since you are planning to create an article about your group that means you have a [POLICY] since you are affiliated/connected/associate with the group. As for you question, see below:
In order for a subject to warrant a page in the main space of Wikipedia, it must fulfill the criteria outlined in the Wikipedia guideline on notability, specifically the General Notability Guideline ([POLICY]).
GNG is defined as the subject must fulfill specific criteria to demonstrate [POLICY] from [POLICY] and [POLICY] sources. These sources should provide in-depth discussions about the subject rather than merely offering passing mentions. This requirement is essential for verification, which is a core policy of Wikipedia. If a source is affiliated/associated/connected with the subject—such as the subject's marketing team, company, social media platforms, information in interviews of the subject or any self-published information—this indicates a lack of independence. Consequently, such sources cannot be utilized to satisfy the notability guidelines. Sources originating from educational institutions, government entities, foundations, social media platforms, and private companies are regarded as unreliable. In contrast, materials published by ""major"" newspapers and ""reputable"" books are typically considered reliable sources.
I recommend that you read [POLICY] and adhere to the provided instructions before beginning the creation of an article. Regards.",30,216,Group4presention,Cassiopeia
0,4,c0_p4,A,high,1,36131,3.4025,0.8602,How do I create a brand new wiki page?,"Hi, Lukerog02!
If you want to create a article about a brand please read the [POLICY] and [HELP_PAGE]. Once you have read and understand the guidelines you can proceed to [HELP_PAGE].",9,30,Lukerog02,Royiswariii
0,4,c0_p4,B,low,0,2441,3.4025,0.8602,How do I begin to edit and put up a new wiki page ?,Welcome to Wikipedia! Here is a good way to start your first article: [POLICY] LMK of any specific questions.,13,19,Essel Ekuban,Lfstevens
1,0,c1_p0,A,high,1,21146,3.9834,0.7651,How to add a new article?,Hi Nasya Rosalind you can find everything you need to know about creating an article at [POLICY].,6,15,Nasya Rosalind,Fieryninja
1,0,c1_p0,B,low,0,15313,3.9834,0.7651,list a new article,"GD Property Solicitors Sorry, I'm not sure I understand what exactly you need help with. If you'd like to start a new article, I recommend the [POLICY] process. Do note that [POLICY] are not permissible on Wikipedia, and [POLICY] is against policy. '",4,40,GD Property Solicitors,AviationFreak
1,1,c1_p1,A,high,1,15604,13.4809,0.5078,what are some good things to add to an article?,"@ That's rather too general a question to have a simple answer. Start by reading [POLICY]. Then take a look at some topics you already know something about and ask yourself ""has Wikipedia covered this in sufficient detail that a reader gets a useful basic introduction?"". If the answer is ""no"", then try to improve the article without adding [POLICY]: we only allow additions that are sourced to already-published material. Ask me again here on my Talk Page if you need further help, and enjoy the experience of contributing to the world's biggest repository of reliable information.",10,97,Ashhwoodd,Michael D. Turnbull
1,1,c1_p1,B,low,0,26252,13.4809,0.5078,"I want write new articel in home page, how to?",What do you want to write an article about?,10,9,English1.id,Voorts
1,2,c1_p2,A,high,1,35674,15.9993,0.8291,"Hello, how do I add my own article on here?",":DaDestroyerr, You have to go through [POLICY].",10,6,DaDestroyerr,Zoozaz1
1,2,c1_p2,B,low,0,10612,15.9993,0.8291,"hello
can you please show me how to add a new article. thank you.","Hello Mdoutim, thanks for reaching out. The guide at [POLICY] gives a general overview on writing your first article. If you are new to editing, I recommend making other contributions first as creating an article has a high level of difficulty.",14,40,Mdoutim,Fritzmann2002
