group_id,qc_label,conversation_id,is_high,active_days_14d,n_edits,acct_age_hours,age_tier,mahal_to_anchor,reply_words,reply_lag_hours,question,reply,n_links,has_action_steps,has_alt_pathway,has_resource_nav,has_resource_annotation,has_mentee_reference,has_greeting,has_followup_invite,answers_question,has_discouragement,has_direct_answer
1,qc_1,35536,1,3,0.0,0.0,0,0.0,40,0.1,"Hello
How do I create citations??","@ To oversimplify, you type in insert reliable reference here. There's a few citation templates that you can put in between in the ref tags, but what I just did is the basic gist of it. [POLICY] has more information.",1,Y,N,N,N,N,N,N,Y,N,Y
1,qc_1,35349,1,3,0.0,0.0,0,1.62,25,1.1,How can I add citation,"@ A quick way to do it is to do insert citation here. If you want to format it better, you can read more [POLICY]",1,Y,N,N,N,N,N,N,Y,N,Y
1,qc_1,32683,0,0,0.0,0.0,0,1.62,9,1.8,How do I create citation.,@ I would suggest looking at [HELP_PAGE] =) –,1,N,N,N,N,N,N,N,Y,N,N
1,qc_1,3570,0,0,0.0,0.1,0,0.0,88,24.7,How do I add a citation?,"Alexander - Ashley Check out [HELP_PAGE] and let me know if you have any more questions. Good luck! By the way, I see that you added a reference to Wikipedia in [LINK], and then another editor came along and substituted it out for another non-Wikipedia reference (the reference cited in the Wikipedia article you put in the footnote). Per [POLICY], it's not a good idea to cite to Wikipedia. But of course you can always cite to other reliable sources that Wikipedia cites. Good luck and happy editing!",3,N,N,N,Y,Y,Y,Y,Y,N,N
1,qc_1,7046,0,0,0.0,0.1,0,0.89,5,4.3,Hello how do I create a citation?,"Hi @! See [HELP_PAGE]. Cheers,",1,N,N,N,N,N,Y,N,Y,N,N
1,qc_1,19853,0,0,0.0,0.1,0,0.89,17,155.6,How do I create citations,"Hi @, please see [POLICY]. Let me know if you have any further questions. [POLICY] (she/they )",2,N,N,N,N,N,Y,Y,Y,N,N
2,qc_1,39705,1,3,0.0,0.1,0,0.0,112,0.2,"Hi there, do you know how to make a citation? I'm not completely sure. Thanks!","Hi ! Welcome to Wikipedia! To add in-line citations, you'll simply surround the reference information using ref tabs, like this: [SOURCE INFORMATION]. Most likely, the sources you'll be using will be from the internet. The best thing to do would be to use the [TEMPLATE_REF] template and then surround that with ref tabs. An example would be [CITATION]. You can review the different parameters that you can use within the cite web template by clicking [TEMPLATE_REF], and you can read more information about citing references in-line by clicking [POLICY]. Please let me know if you have any more questions and I'll be happy to answer them and help you further. :-) Best",3,Y,N,N,Y,N,Y,Y,Y,N,Y
2,qc_1,6216,1,4,0.0,0.0,0,2.7,18,0.6,How to create citation?,"Read [POLICY] for guidance. If you have specific questions, you can ask me for specific information. Cheers, :",1,N,N,N,N,N,N,Y,Y,N,N
2,qc_1,38849,0,0,0.0,0.1,0,0.0,6,0.1,How do I create a citation?,See [HELP_PAGE]. (she/they/it • • ),1,N,N,N,N,N,N,N,Y,N,N
2,qc_1,28731,0,0,0.0,0.0,0,2.56,50,6.8,How do I create a citation,"There is a friendly guide [POLICY]. Usually, you'd want the date of the source, the date you accessed the page, the source's title, and the URL if you are citing an online source. If you are trying to cite a book, you would really want to also specify the pages.",1,N,N,N,N,N,N,N,Y,N,Y
2,qc_1,21772,0,0,0.0,-1.0,0,0.15,61,9.4,I don't understand how to find sentences that need to be cited.,"RotML Welcome to Wikipedia. You need to find the ""[citation needed]"" tags that have been added to the ends of various sentences. IF you can find a realiable source for that statement, then replace the tag with the reference that you found. If you don't already know then [POLICY] is a good source for how to add a reference. Happy editing!",1,Y,N,N,N,N,Y,N,Y,N,Y
2,qc_1,24170,0,0,0.0,14.6,0,2.56,150,16.2,"Hello!
I need to ask an important question. Please what is a citation first of all?","@ Hello, and thank you for your interest in editing Wikipedia!
A citation serves to show where a piece of information came from. You can add a citation by clicking the ""cite"" button on the top left of your screen. After clicking the button, you can input where you learned the information, such as a book and the page number. On Wikipedia, sources should be verifiable and reliable. You can read more here: [POLICY]
A citation may look like this: [CITATION] where the text in red is whatever fact the citation supports. The citation is the small blue box with the number inside. If you click/hover over the icon, it would show the source.
If you would like to add a citation, [HELP_PAGE] would step you though the process. If you are interested, [HELP_PAGE] may also be worth viewing as it gives a general overview of editing.
:Does this help?",3,Y,N,Y,Y,N,Y,N,Y,N,Y
3,qc_1,33438,1,3,0.0,0.0,0,0.0,124,35.6,How do I cite something? I’ve read the tutorial and it didn’t make much sense to me. Many thanks.,"Hey , I'm happy to help as it seems ~delta is taking a break at the moment. Citations are generally placed within tags in the source code of an article, which causes a footnote to appear in the references list at the bottom. Write the reference information within the tags; you can write it in plain text but it is recommended to use a citation template such as [TEMPLATE_REF], which will automatically format the reference for you, among other benefits. As an example, to cite you would insert the following markup into the source: [CITATION]. This generates this citation:[CITATION]
Consider reading [HELP_PAGE] for further information, which is a simplified version of the main [POLICY] guideline. Let me know if you have any questions! —",0,Y,N,N,N,N,Y,N,Y,N,Y
