cluster,pair_rank,pair_id,role,retention,outcome,cid,mentee_dist,emb_cosine_sim,question_text,reply_text,question_words,reply_words,mentee_name,mentor_name
0,0,c0_p0,A,high,1,39968,0.0046,1.0,"Hi, someone has put on a speedy deletion on my page, I am new to this- could you have a look and advise. I have tried to illustrate the importance of the issue- but has been accused of being self promotional","Sorry, but I can’t look at deleted contents (your page was deleted) as I am not a sysop. However, please remember Wikipedia is not a [POLICY] or [POLICY]. Please read [POLICY], [POLICY], and, especially, our [POLICY], if you plan to. Write about organisations. May I know what your sandbox was about? — Fortune favors the curious",41,56,Anne from Adelaide Hills,Plutus
0,0,c0_p0,B,low,0,34702,0.0046,1.0,"Hi, someone has put on a speedy deletion on my page, I am new to this- could you have a look and advise. I have tried to illustrate the importance of the issue- but has been accused of being self promotional","Sorry, but I can’t look at deleted contents (your page was deleted) as I am not a sysop. However, please remember Wikipedia is not a [POLICY] or [POLICY]. Please read [POLICY], [POLICY], and, especially, our [POLICY], if you plan to. Write about organisations. May I know what your sandbox was about? — Fortune favors the curious",41,56,Hahndorf Traffic,Plutus
0,1,c0_p1,A,high,1,4396,1.3529,0.3369,"hallo, salam
saya frustasi, semua artikel yang sudah saya buat telah di hapus, akun saya di blokir, saya pengguna baru, saya tidak begitu paham soal cara pembuatan yang benar, saya mengikuti panduan dari AI gemini/chatgpt cara membuat artikel. kesalahan adalah, saya mengunggah foto gambar di cosmon memakai foto dari google yang saya save lalu saya upload. semua artikel saya mengalami penghapusan kebijakan hak cipta. padahal saya sudah susah payah membuatnya dan mempelajari cara membuat artikel di wikipedia. saya tidak tau lagi harus melakukan apa, saya sudah mencoba ajubanding sana sini.","Hi Derayku88. Unfortunately, I don't speak Indonesian. Since you seem to have trouble on the Indonesian Wikipedia and on Commons, I suggest that you look for advice there instead of here on the English Wikipedia since chances are slim you'll find someone who speaks Indoensian well enough to guide you through the problems you're experiencing. Best,",90,55,Derayku88,Pichpich
0,1,c0_p1,B,low,0,6202,1.3529,0.3369,"I sent the following to 'Sandstein' on 9 October but he/she has not responded ...what should I do?
---------------
The following was added to:
[LINK]
at 15.45 on 09/10/2025
Hello,
I’m writing about the article at [WIKILINK]
which was proposed for Deletion on 10 - 17 August 2025, and has since been deleted by you.
Among the specific reasons given was “Nothing about this person that I can find online” !! Yet:
46 editions or my books are listed at:
[LINK]
including:
[LINK]
and
[LINK]
and
[LINK]
and at:
[LINK]
And at [LINK]
over 30 (33) of my books are listed.
It’s hard to see why this page has been deleted when so many others remain.
And it’s impossible for me to see how to resurrect it?
I would very m","Sandstein closed the deletion discussion as 'delete' which is a fair reading of the discussion, and as an administrator, performed the deletion. That is standard practice.
Have you read the Wikipedia policies cited in the deletion discussions?
:Do you understand the requirement to demonstrate notability of the subject of an article?
Can you provide evidence of notability which will satisfy one of the options?
An article is judged against the relevant Wikipedia policies. The existence of other articles which may also not comply is not relevant. :",129,85,Corsavyois,Pbsouthwood
0,2,c0_p2,A,high,1,32743,1.4528,0.4834,Hi how do I know if what I contribute to a article is actually valuable and won't get deleted?,"Hi! I'd suggest contributing to articles by adding info sourced from [POLICY]. If your edit does get deleted, or ""reverted"" as we call it on Wikipedia and you don't agree with it, you can ask the person who reverted it why they did it using their [POLICY]. If you want more info on how to add sources to articles, you can read the page [HELP_PAGE], and if you're still struggling, you can ask me for help. they/them •",19,77,Wordsonwordsonpagesonwordshello,Enbi
0,2,c0_p2,B,low,0,32384,1.4528,0.4834,Hi. Very new to this. Not very savvy. Apologies for that. I only just discovered a page about me that has been live for at least 16 years was deleted. I’m very curious as to why and am attempting to get clarity. Any information or direction you can provide is greatly appreciated. Thank you,"Hello @, and welcome to Wikipedia. If the page was about you, it may have been deleted for a number of reasons, such as not meeting [POLICY] or lacking sufficient [POLICY]. Articles about people are sometimes removed if they don't have enough independent coverage. You can try checking the deletion log for the page to see the reason it was deleted.",54,61,GlennCAA8,Idoghor Melody
0,3,c0_p3,A,high,1,38249,1.5411,0.3947,"Hi,
would it be okay for me to reinstate presumtively removed content on Wooly Willy do to the user plagiarizing elsewhere? I checked it with Grammarly Plagiarism checker and it says the removed content is not plagiarized.","CoolDino1 In connection with [WIKILINK], there appear to have been copyright problems. If you want to reinstate any of the deleted content, you should make sure it is re-expressed in your own words. Happy editing!",37,34,CoolDino1,Ipigott
0,3,c0_p3,B,low,0,30529,1.5411,0.3947,"Hello, can you help me remove a maintenance template legally?","Hello @, if you think that an article has changed and the maintenance template is not accurate, it can be removed. If added again, you can discuss the problem with other editors on the article talk page. There are no ""legal"" issues in removing any template. Exceptions are these: , which people are more cautious about.",10,55,Wpdtr,Reconrabbit
0,4,c0_p4,A,high,1,35266,2.5892,0.4213,"I've previously posted 100% legit facts followed by multiple, varied support articles, which are removed by random people for disagreeing. Facts are facts. What can I do?",":Presumably these edits were made before creating your account. If you tell me which article it was, I might be able to advise further. Martin ( · )",27,25,HuckFinn89,MSGJ
0,4,c0_p4,B,low,0,16580,2.5892,0.4213,Is there any way to retrieve my user page which was nominated for speedy deletion and restore it to my sanbbox?,"Oxspring66 I can email the content of the page to you, if you like, provided you agree to to repost the part you copied from another website to Wikipedia. If so, let me know on my talk page. However, you should also consider the advice I have posted to your talk page.",21,51,Oxspring66,Pichemist
